parcel_id,farmer_id,district,taluk,village,survey_no,subdivision_no,area,latitude,longitude,land_category,irrigation_source,soil_type
P0216,F0208,Cuddalore,Chidambaram,Nallur,170/3,5,2.03,11.59304,79.658871,Dryland,Rainfed,Alluvial
P0217,F0179,Cuddalore,Chidambaram,Kumaratchi,299/15,4,1.02,11.473738,79.807757,Garden Land,Canal,Loam
P0218,F0090,Cuddalore,Panruti,Parangipettai,401/11,1,0.53,11.503567,79.453232,Garden Land,Tank,Alluvial
P0219,F0295,Cuddalore,Chidambaram,Kumaratchi,595/8,3,1.36,11.425071,79.621384,Dryland,River,Alluvial
P0220,F0015,Thanjavur,Thanjavur,Budalur,907/8,2,1.47,10.740985,79.12891,Dryland,River,Loam
P0221,F0265,Cuddalore,Virudhachalam,Kurinjipadi,394/3,4,1.14,11.567826,79.750409,Garden Land,Tank,Clay
P0222,F0284,Thanjavur,Kumbakonam,Budalur,687/9,2,0.78,10.965698,79.238278,Garden Land,Borewell,Sandy Loam
P0223,F0103,Cuddalore,Cuddalore,Sethiathope,334/7,2,1.15,11.417431,79.521028,Garden Land,Tank,Clay Loam
P0224,F0055,Cuddalore,Cuddalore,Kumaratchi,604/20,1,3.36,11.359939,79.439244,Garden Land,Canal,Sandy Loam
P0225,F0191,Cuddalore,Chidambaram,Nallur,688/9,4,3.45,11.610334,79.64617,Wetland,Rainfed,Loam
P0226,F0204,Cuddalore,Cuddalore,Sethiathope,918/14,4,0.47,11.411046,79.688333,Garden Land,Canal,Alluvial
P0227,F0178,Cuddalore,Chidambaram,Parangipettai,223/17,4,0.71,11.496858,79.743169,Dryland,Canal,Clay
P0228,F0346,Thanjavur,Orathanadu,Ammapettai,727/9,2,1.34,10.605376,79.290504,Garden Land,Tank,Clay Loam
P0229,F0138,Cuddalore,Chidambaram,Kumaratchi,610/14,2,1.47,11.535673,79.706542,Dryland,Tank,Loam
P0230,F0206,Thanjavur,Papanasam,Ammapettai,689/8,1,0.72,10.639815,79.089945,Garden Land,Tank,Clay Loam
P0231,F0285,Cuddalore,Chidambaram,Sethiathope,856/5,4,0.77,11.516109,79.590442,Wetland,Borewell,Sandy Loam
P0232,F0256,Thanjavur,Papanasam,Budalur,646/11,4,2.32,10.567236,79.446635,Dryland,Tank,Alluvial
P0233,F0291,Thanjavur,Thanjavur,Thiruvaiyaru,320/9,4,0.82,10.523855,79.049487,Garden Land,Canal,Sandy Loam
P0234,F0172,Cuddalore,Chidambaram,Kurinjipadi,929/9,3,2.08,11.429885,79.580153,Wetland,River,Clay
P0235,F0180,Cuddalore,Virudhachalam,Nallur,689/18,2,0.94,11.733684,79.881558,Dryland,Tank,Loam
P0236,F0345,Cuddalore,Virudhachalam,Kumaratchi,180/13,5,0.85,11.555222,79.787372,Dryland,River,Clay Loam
P0237,F0086,Cuddalore,Virudhachalam,Kurinjipadi,727/19,4,1.65,11.62029,79.864283,Wetland,Canal,Clay Loam
P0238,F0176,Thanjavur,Papanasam,Budalur,373/20,4,0.6,10.614109,79.158439,Dryland,River,Loam
P0239,F0301,Thanjavur,Orathanadu,Ammapettai,974/1,2,0.84,10.760468,79.225144,Garden Land,Borewell,Loam
P0240,F0041,Thanjavur,Papanasam,Melattur,999/16,5,0.61,10.605286,79.198523,Wetland,Canal,Sandy Loam
P0241,F0269,Cuddalore,Virudhachalam,Kurinjipadi,259/3,4,0.75,11.682498,79.441626,Dryland,Borewell,Clay Loam
P0242,F0146,Thanjavur,Papanasam,Thiruvaiyaru,274/1,1,1.99,10.72158,79.063206,Garden Land,Tank,Loam
P0243,F0244,Thanjavur,Orathanadu,Budalur,661/15,2,3.29,10.733597,79.435449,Garden Land,Rainfed,Clay Loam
P0244,F0303,Cuddalore,Chidambaram,Parangipettai,677/14,5,2.33,11.598792,79.715524,Garden Land,Rainfed,Loam
P0245,F0178,Cuddalore,Chidambaram,Parangipettai,415/12,4,0.51,11.540826,79.513564,Dryland,Borewell,Loam
P0246,F0006,Thanjavur,Thanjavur,Budalur,452/10,4,0.97,10.500046,79.40769,Garden Land,Canal,Sandy Loam
P0247,F0245,Cuddalore,Panruti,Kumaratchi,711/8,1,1.24,11.449805,79.782935,Garden Land,Tank,Clay Loam
P0248,F0211,Thanjavur,Orathanadu,Ayyampettai,832/13,4,1.1,10.941081,79.218553,Wetland,Tank,Clay
P0249,F0217,Cuddalore,Chidambaram,Kurinjipadi,727/9,3,0.84,11.612662,79.658305,Garden Land,Rainfed,Loam
P0250,F0212,Cuddalore,Chidambaram,Kurinjipadi,213/15,5,0.63,11.394,79.434232,Dryland,Tank,Alluvial
P0251,F0252,Cuddalore,Cuddalore,Kumaratchi,647/1,2,0.33,11.393895,79.409698,Wetland,Tank,Loam
P0252,F0065,Thanjavur,Kumbakonam,Melattur,254/1,4,1.04,10.857598,79.363554,Wetland,Tank,Sandy Loam
P0253,F0160,Thanjavur,Kumbakonam,Ayyampettai,813/2,3,0.5,10.892863,79.249198,Wetland,Borewell,Clay
P0254,F0137,Cuddalore,Panruti,Kumaratchi,296/9,4,1.8,11.687826,79.435692,Wetland,Canal,Clay Loam
P0255,F0198,Cuddalore,Chidambaram,Kurinjipadi,134/7,4,2.66,11.685613,79.62148,Garden Land,Canal,Alluvial
P0256,F0341,Cuddalore,Virudhachalam,Parangipettai,419/11,2,2.48,11.791058,79.636413,Garden Land,Canal,Alluvial
P0257,F0267,Cuddalore,Panruti,Nallur,469/2,2,1.26,11.361071,79.640615,Wetland,Borewell,Sandy Loam
P0258,F0167,Thanjavur,Kumbakonam,Ayyampettai,505/8,1,0.68,10.507534,79.397195,Wetland,Rainfed,Sandy Loam
P0259,F0306,Thanjavur,Papanasam,Budalur,611/3,5,1.1,10.577496,79.385399,Dryland,Canal,Clay
P0260,F0183,Cuddalore,Virudhachalam,Parangipettai,228/16,2,2.83,11.622287,79.750664,Dryland,Rainfed,Loam
P0261,F0225,Cuddalore,Cuddalore,Nallur,841/5,3,1.51,11.666594,79.410676,Wetland,River,Sandy Loam
P0262,F0287,Thanjavur,Papanasam,Ayyampettai,291/18,3,0.91,10.647357,79.348519,Dryland,River,Loam
P0263,F0307,Thanjavur,Kumbakonam,Budalur,258/15,3,0.42,10.957237,79.27726,Dryland,Rainfed,Loam
P0264,F0233,Cuddalore,Chidambaram,Parangipettai,289/1,5,1.51,11.30036,79.719013,Dryland,Rainfed,Clay Loam
P0265,F0165,Cuddalore,Virudhachalam,Nallur,496/7,5,1.67,11.660502,79.729145,Garden Land,River,Alluvial
P0266,F0079,Thanjavur,Kumbakonam,Ammapettai,213/4,5,2.35,10.80652,79.1613,Garden Land,Canal,Clay
P0267,F0067,Cuddalore,Virudhachalam,Sethiathope,296/4,1,0.64,11.389319,79.415637,Garden Land,River,Sandy Loam
P0268,F0270,Cuddalore,Cuddalore,Sethiathope,326/20,1,0.46,11.611985,79.69515,Wetland,Borewell,Sandy Loam
P0269,F0041,Thanjavur,Papanasam,Melattur,861/14,3,1.45,10.73403,79.319458,Garden Land,Canal,Alluvial
P0270,F0137,Cuddalore,Panruti,Kumaratchi,179/7,5,2.97,11.56451,79.76715,Wetland,Canal,Clay Loam
P0271,F0273,Thanjavur,Papanasam,Thiruvaiyaru,683/6,5,2.4,10.692666,79.09656,Garden Land,Rainfed,Sandy Loam
P0272,F0055,Cuddalore,Cuddalore,Kumaratchi,819/14,1,2.46,11.683142,79.688282,Wetland,Borewell,Alluvial
P0273,F0206,Thanjavur,Papanasam,Ammapettai,714/15,3,2.01,10.752346,79.328766,Dryland,Rainfed,Loam
P0274,F0191,Cuddalore,Chidambaram,Nallur,431/20,2,2.94,11.506172,79.71662,Garden Land,Rainfed,Clay Loam
P0275,F0193,Thanjavur,Papanasam,Thiruvaiyaru,563/15,4,1.09,10.882854,79.463073,Wetland,Canal,Loam
P0276,F0306,Thanjavur,Papanasam,Budalur,106/10,2,3.15,10.508151,79.067543,Wetland,Tank,Clay
P0277,F0142,Cuddalore,Cuddalore,Parangipettai,685/5,1,1.81,11.759556,79.655636,Wetland,River,Loam
P0278,F0080,Thanjavur,Thanjavur,Ayyampettai,338/9,3,1.08,10.569204,79.183541,Wetland,Rainfed,Sandy Loam
P0279,F0292,Cuddalore,Virudhachalam,Kumaratchi,911/16,2,2.62,11.758941,79.767133,Dryland,Rainfed,Clay
P0280,F0305,Thanjavur,Thanjavur,Budalur,490/3,1,2.89,10.821127,79.018686,Dryland,Tank,Sandy Loam
P0281,F0214,Thanjavur,Orathanadu,Ammapettai,865/20,1,2.77,10.965123,79.06027,Garden Land,River,Clay
P0282,F0157,Thanjavur,Papanasam,Melattur,434/17,2,0.88,10.762192,79.159658,Wetland,Canal,Sandy Loam
P0283,F0229,Cuddalore,Panruti,Parangipettai,542/10,4,0.49,11.67642,79.687627,Wetland,Borewell,Loam
P0284,F0043,Thanjavur,Papanasam,Ayyampettai,368/3,4,1.28,10.737927,79.372658,Garden Land,River,Clay Loam
P0285,F0070,Cuddalore,Cuddalore,Kurinjipadi,685/7,5,0.83,11.540461,79.499054,Garden Land,Rainfed,Clay Loam
P0286,F0125,Cuddalore,Panruti,Kurinjipadi,689/3,1,1.33,11.335822,79.788386,Garden Land,River,Sandy Loam
P0287,F0188,Cuddalore,Panruti,Sethiathope,124/10,2,0.75,11.474154,79.560369,Dryland,Rainfed,Sandy Loam
P0288,F0320,Thanjavur,Thanjavur,Ayyampettai,304/12,2,1.38,10.572909,79.022439,Garden Land,Canal,Clay
P0289,F0028,Thanjavur,Orathanadu,Thiruvaiyaru,952/10,1,0.77,10.621524,79.310501,Dryland,Canal,Loam
P0290,F0231,Thanjavur,Orathanadu,Melattur,316/7,5,1.13,10.735595,79.165938,Garden Land,Tank,Alluvial
P0291,F0248,Thanjavur,Papanasam,Melattur,784/1,4,2.52,10.811521,79.496151,Garden Land,Rainfed,Clay
P0292,F0131,Cuddalore,Cuddalore,Kurinjipadi,732/9,1,2.83,11.38516,79.542007,Dryland,Canal,Clay
P0293,F0199,Thanjavur,Papanasam,Ayyampettai,468/4,1,1.38,10.830186,79.331491,Dryland,River,Clay Loam
P0294,F0195,Thanjavur,Thanjavur,Ayyampettai,596/20,5,3.19,10.75427,79.354844,Wetland,Borewell,Clay Loam
P0295,F0257,Thanjavur,Papanasam,Melattur,140/8,5,2.54,10.983396,79.280344,Dryland,Tank,Sandy Loam
P0296,F0202,Thanjavur,Orathanadu,Budalur,463/10,2,2.49,10.872195,79.009186,Garden Land,Tank,Clay
P0297,F0321,Cuddalore,Panruti,Kumaratchi,130/18,3,1.09,11.42884,79.593585,Wetland,Borewell,Loam
P0298,F0202,Thanjavur,Orathanadu,Budalur,794/20,2,1.52,10.828466,79.043898,Dryland,Borewell,Alluvial
P0299,F0079,Thanjavur,Kumbakonam,Ammapettai,559/18,2,2.24,10.713232,79.156191,Wetland,Borewell,Alluvial
P0300,F0278,Cuddalore,Chidambaram,Nallur,805/17,2,0.74,11.642024,79.501155,Dryland,Borewell,Alluvial
P0301,F0081,Thanjavur,Orathanadu,Thiruvaiyaru,221/6,3,3.34,10.658748,79.27867,Wetland,Canal,Loam
P0302,F0212,Cuddalore,Chidambaram,Kurinjipadi,941/9,2,2.07,11.780598,79.551674,Wetland,Canal,Clay Loam
P0303,F0095,Thanjavur,Thanjavur,Ayyampettai,720/19,5,2.27,10.513099,79.492978,Wetland,Rainfed,Clay Loam
P0304,F0119,Thanjavur,Thanjavur,Ayyampettai,588/5,5,2.5,10.843689,79.179631,Garden Land,River,Loam
P0305,F0095,Thanjavur,Thanjavur,Ayyampettai,297/8,1,0.74,10.926065,79.245723,Dryland,Canal,Loam
P0306,F0212,Cuddalore,Chidambaram,Kurinjipadi,309/3,2,0.78,11.411277,79.73567,Dryland,Rainfed,Sandy Loam
P0307,F0167,Thanjavur,Kumbakonam,Ayyampettai,894/2,5,0.58,10.933387,79.443793,Garden Land,River,Loam
P0308,F0202,Thanjavur,Orathanadu,Budalur,637/2,5,2.2,10.805752,79.371234,Wetland,River,Sandy Loam
P0309,F0022,Thanjavur,Papanasam,Budalur,852/2,5,2.02,10.93889,79.122861,Dryland,Rainfed,Clay
P0310,F0098,Cuddalore,Virudhachalam,Nallur,947/10,4,1.27,11.44559,79.59902,Wetland,River,Loam
P0311,F0314,Thanjavur,Papanasam,Thiruvaiyaru,574/15,1,3.19,10.959516,79.344976,Garden Land,Rainfed,Clay
P0312,F0093,Cuddalore,Virudhachalam,Sethiathope,238/13,4,2.53,11.689366,79.868921,Dryland,River,Clay
P0313,F0092,Cuddalore,Cuddalore,Nallur,565/3,3,2.46,11.52684,79.848309,Dryland,Borewell,Clay
P0314,F0047,Cuddalore,Virudhachalam,Kurinjipadi,636/13,5,0.49,11.357082,79.624699,Garden Land,Borewell,Sandy Loam
P0315,F0282,Thanjavur,Papanasam,Melattur,679/5,2,0.91,10.690304,79.38413,Wetland,Borewell,Clay
P0316,F0215,Thanjavur,Thanjavur,Thiruvaiyaru,395/6,1,2.23,10.654031,79.365081,Wetland,Borewell,Clay
P0317,F0319,Cuddalore,Cuddalore,Sethiathope,610/18,1,1.89,11.682698,79.406104,Garden Land,River,Clay Loam
P0318,F0112,Thanjavur,Thanjavur,Melattur,181/20,5,1.61,10.794431,79.237856,Wetland,Borewell,Alluvial
P0319,F0143,Thanjavur,Papanasam,Melattur,150/6,2,2.06,10.809883,79.278774,Wetland,Tank,Clay
P0320,F0075,Cuddalore,Chidambaram,Kumaratchi,405/11,1,2.98,11.726915,79.733498,Wetland,Canal,Sandy Loam
P0321,F0092,Cuddalore,Cuddalore,Nallur,816/20,5,1.89,11.380668,79.54219,Garden Land,Borewell,Sandy Loam
P0322,F0297,Thanjavur,Thanjavur,Budalur,430/12,4,2.76,10.680094,79.01792,Wetland,River,Alluvial
P0323,F0034,Cuddalore,Cuddalore,Sethiathope,381/11,5,2.52,11.446416,79.467273,Dryland,Rainfed,Clay Loam
P0324,F0108,Thanjavur,Thanjavur,Melattur,744/17,1,2.64,10.806027,79.054651,Dryland,Rainfed,Loam
P0325,F0219,Cuddalore,Cuddalore,Kurinjipadi,738/12,2,1.53,11.604422,79.558244,Garden Land,Rainfed,Sandy Loam
P0326,F0267,Cuddalore,Panruti,Nallur,724/8,3,2.89,11.664592,79.648871,Wetland,Canal,Clay
P0327,F0013,Thanjavur,Papanasam,Ayyampettai,312/20,4,2.66,10.732443,79.398366,Dryland,Canal,Loam
P0328,F0180,Cuddalore,Virudhachalam,Nallur,306/10,3,0.34,11.580208,79.718752,Wetland,Tank,Loam
P0329,F0260,Thanjavur,Orathanadu,Melattur,441/11,4,0.66,10.774997,79.383516,Garden Land,Rainfed,Alluvial
P0330,F0015,Thanjavur,Thanjavur,Budalur,788/16,4,2.85,10.916021,79.097008,Wetland,Borewell,Sandy Loam
P0331,F0080,Thanjavur,Thanjavur,Ayyampettai,443/15,4,1.02,10.8136,79.446029,Garden Land,Canal,Alluvial
P0332,F0154,Cuddalore,Chidambaram,Sethiathope,119/7,5,2.08,11.582471,79.739099,Garden Land,Tank,Loam
P0333,F0034,Cuddalore,Cuddalore,Sethiathope,484/18,2,0.4,11.784807,79.54023,Garden Land,Rainfed,Sandy Loam
P0334,F0096,Cuddalore,Panruti,Nallur,822/11,1,2.7,11.597596,79.832297,Dryland,River,Clay
P0335,F0255,Cuddalore,Chidambaram,Sethiathope,409/7,5,2.95,11.738524,79.585792,Dryland,Borewell,Clay
P0336,F0192,Thanjavur,Thanjavur,Melattur,554/17,1,3.22,10.892472,79.388895,Dryland,Rainfed,Clay Loam
P0337,F0098,Cuddalore,Virudhachalam,Nallur,417/11,2,3.1,11.470058,79.641736,Wetland,Rainfed,Clay Loam
P0338,F0106,Thanjavur,Papanasam,Budalur,634/4,1,0.82,10.862285,79.229684,Dryland,Canal,Alluvial
P0339,F0045,Thanjavur,Papanasam,Melattur,884/10,1,0.63,10.666645,79.444593,Garden Land,Tank,Clay Loam
P0340,F0165,Cuddalore,Virudhachalam,Nallur,891/15,1,1.65,11.400278,79.543284,Dryland,Borewell,Clay Loam
P0341,F0141,Cuddalore,Cuddalore,Nallur,204/7,5,1.71,11.35723,79.879149,Dryland,Rainfed,Loam
P0342,F0139,Cuddalore,Virudhachalam,Parangipettai,350/6,1,0.37,11.370778,79.752177,Dryland,Rainfed,Loam
P0343,F0277,Thanjavur,Papanasam,Melattur,791/2,1,1.81,10.721824,79.065037,Dryland,Canal,Clay
P0344,F0219,Cuddalore,Cuddalore,Kurinjipadi,744/15,5,2.39,11.495958,79.752339,Dryland,Tank,Loam
P0345,F0102,Thanjavur,Kumbakonam,Ayyampettai,873/15,5,1.93,10.856449,79.335435,Wetland,Canal,Sandy Loam
P0346,F0050,Thanjavur,Papanasam,Budalur,576/16,2,2.57,10.727792,79.342239,Wetland,Borewell,Alluvial
P0347,F0133,Thanjavur,Thanjavur,Thiruvaiyaru,781/11,3,2.32,10.956431,79.196038,Dryland,River,Clay
P0348,F0034,Cuddalore,Cuddalore,Sethiathope,274/10,3,1.78,11.537667,79.57572,Garden Land,Rainfed,Clay Loam
P0349,F0261,Cuddalore,Chidambaram,Nallur,433/18,1,2.85,11.351466,79.808776,Dryland,Rainfed,Sandy Loam
P0350,F0206,Thanjavur,Papanasam,Ammapettai,262/16,4,1.08,10.795268,79.119288,Wetland,Tank,Clay Loam
P0351,F0303,Cuddalore,Chidambaram,Parangipettai,450/18,2,2.12,11.515574,79.890103,Wetland,Canal,Alluvial
P0352,F0250,Thanjavur,Papanasam,Ammapettai,199/15,2,0.49,10.557161,79.298038,Dryland,River,Clay
P0353,F0307,Thanjavur,Kumbakonam,Budalur,488/11,4,1.67,10.554372,79.407033,Garden Land,Canal,Clay
P0354,F0112,Thanjavur,Thanjavur,Melattur,751/1,2,3.19,10.908517,79.443631,Garden Land,Borewell,Sandy Loam
P0355,F0273,Thanjavur,Papanasam,Thiruvaiyaru,310/11,3,1.73,10.645752,79.307786,Garden Land,Tank,Sandy Loam
P0356,F0177,Cuddalore,Chidambaram,Kumaratchi,622/13,2,2.26,11.795145,79.691363,Dryland,Canal,Loam
P0357,F0282,Thanjavur,Papanasam,Melattur,467/4,3,0.68,10.98395,79.000422,Wetland,Borewell,Sandy Loam
P0358,F0303,Cuddalore,Chidambaram,Parangipettai,490/14,5,1.52,11.497134,79.559064,Wetland,Borewell,Sandy Loam
P0359,F0072,Thanjavur,Orathanadu,Ayyampettai,960/14,2,3.26,10.594113,79.192298,Dryland,Borewell,Clay Loam
P0360,F0006,Thanjavur,Thanjavur,Budalur,598/14,2,0.87,10.535873,79.007854,Wetland,Borewell,Sandy Loam
P0361,F0234,Thanjavur,Orathanadu,Ammapettai,738/6,4,3.01,10.946791,79.347695,Garden Land,River,Alluvial
P0362,F0231,Thanjavur,Orathanadu,Melattur,107/19,4,0.78,10.692357,79.11287,Garden Land,Borewell,Alluvial
P0363,F0138,Cuddalore,Chidambaram,Kumaratchi,138/19,4,1.47,11.505419,79.673083,Garden Land,Tank,Clay
P0364,F0298,Thanjavur,Orathanadu,Melattur,848/17,3,0.75,10.740766,79.345249,Dryland,Rainfed,Clay
P0365,F0268,Cuddalore,Chidambaram,Parangipettai,859/3,5,0.55,11.744958,79.444223,Garden Land,Tank,Alluvial
P0366,F0028,Thanjavur,Orathanadu,Thiruvaiyaru,564/17,4,0.33,10.951793,79.267517,Garden Land,Tank,Sandy Loam
P0367,F0181,Cuddalore,Virudhachalam,Kumaratchi,136/20,3,0.99,11.780291,79.799112,Garden Land,Rainfed,Loam
P0368,F0032,Thanjavur,Orathanadu,Ammapettai,772/10,5,2.13,10.81465,79.289071,Wetland,Tank,Sandy Loam
P0369,F0043,Thanjavur,Papanasam,Ayyampettai,358/5,5,1.7,10.563411,79.038431,Dryland,Tank,Loam
P0370,F0008,Thanjavur,Orathanadu,Thiruvaiyaru,856/5,4,3.21,10.870715,79.301911,Dryland,Borewell,Loam
P0371,F0121,Cuddalore,Virudhachalam,Kumaratchi,451/3,2,2.05,11.542459,79.799686,Garden Land,Borewell,Sandy Loam
P0372,F0212,Cuddalore,Chidambaram,Kurinjipadi,752/6,2,1.35,11.685184,79.518974,Garden Land,Tank,Clay
P0373,F0329,Cuddalore,Cuddalore,Kumaratchi,575/13,4,0.4,11.432198,79.809766,Dryland,River,Alluvial
P0374,F0120,Thanjavur,Thanjavur,Melattur,248/17,4,1.82,10.6899,79.352804,Wetland,Tank,Sandy Loam
P0375,F0196,Cuddalore,Cuddalore,Parangipettai,142/4,5,2.49,11.639247,79.880881,Garden Land,Tank,Sandy Loam
P0376,F0313,Cuddalore,Chidambaram,Kurinjipadi,373/4,3,1.19,11.759021,79.829178,Garden Land,Rainfed,Sandy Loam
P0377,F0237,Cuddalore,Chidambaram,Kurinjipadi,702/7,5,2.65,11.686576,79.774545,Dryland,Borewell,Loam
P0378,F0281,Cuddalore,Virudhachalam,Parangipettai,521/4,5,0.52,11.305289,79.404238,Wetland,River,Loam
P0379,F0113,Thanjavur,Orathanadu,Ammapettai,734/3,1,0.41,10.862625,79.125948,Garden Land,Borewell,Alluvial
P0380,F0327,Cuddalore,Panruti,Kurinjipadi,719/5,4,0.58,11.360895,79.878898,Garden Land,Rainfed,Clay Loam
P0381,F0057,Thanjavur,Papanasam,Budalur,177/15,3,1.54,10.847827,79.126668,Dryland,Tank,Loam
P0382,F0083,Cuddalore,Chidambaram,Nallur,497/11,1,0.5,11.690366,79.538644,Dryland,Tank,Clay Loam
P0383,F0226,Thanjavur,Kumbakonam,Ayyampettai,502/6,4,0.94,10.534699,79.489711,Wetland,Borewell,Alluvial
P0384,F0221,Cuddalore,Chidambaram,Kumaratchi,832/9,1,3.22,11.409193,79.721669,Wetland,Canal,Clay
P0385,F0293,Thanjavur,Thanjavur,Melattur,609/5,1,0.36,10.863773,79.388619,Wetland,River,Loam
P0386,F0078,Cuddalore,Virudhachalam,Parangipettai,627/16,4,2.14,11.650028,79.852309,Dryland,River,Clay
P0387,F0277,Thanjavur,Papanasam,Melattur,898/16,1,2.51,10.612923,79.192212,Garden Land,Rainfed,Loam
P0388,F0171,Cuddalore,Panruti,Nallur,762/3,3,1.28,11.640918,79.600307,Garden Land,Tank,Clay
P0389,F0236,Cuddalore,Chidambaram,Parangipettai,667/2,4,0.95,11.680227,79.544979,Garden Land,Borewell,Loam
P0390,F0200,Thanjavur,Orathanadu,Ammapettai,186/15,2,1.45,10.94823,79.315309,Wetland,Canal,Clay Loam
P0391,F0013,Thanjavur,Papanasam,Ayyampettai,164/18,3,1.87,10.85987,79.296473,Dryland,Rainfed,Sandy Loam
P0392,F0009,Cuddalore,Panruti,Nallur,143/13,1,2.82,11.318521,79.428027,Wetland,Rainfed,Sandy Loam
P0393,F0348,Thanjavur,Kumbakonam,Thiruvaiyaru,338/3,1,1.37,10.9351,79.268281,Garden Land,Borewell,Sandy Loam
P0394,F0335,Cuddalore,Cuddalore,Nallur,348/5,1,2.06,11.309532,79.853589,Wetland,Canal,Loam
P0395,F0050,Thanjavur,Papanasam,Budalur,937/4,1,2.19,10.728092,79.085345,Dryland,Rainfed,Alluvial
P0396,F0113,Thanjavur,Orathanadu,Ammapettai,955/13,3,1.38,10.531555,79.101321,Wetland,Rainfed,Alluvial
P0397,F0071,Thanjavur,Orathanadu,Budalur,146/19,2,0.87,10.660795,79.482346,Dryland,Canal,Clay
P0398,F0141,Cuddalore,Cuddalore,Nallur,666/6,4,2.05,11.370618,79.607577,Wetland,Rainfed,Clay
P0399,F0069,Cuddalore,Panruti,Kumaratchi,896/6,1,0.78,11.349984,79.823683,Dryland,Canal,Clay
P0400,F0004,Thanjavur,Orathanadu,Thiruvaiyaru,390/14,4,1.79,10.589706,79.044571,Garden Land,Borewell,Clay Loam
P0401,F0074,Cuddalore,Virudhachalam,Kurinjipadi,278/20,1,1.23,11.619913,79.661543,Garden Land,Borewell,Sandy Loam
P0402,F0314,Thanjavur,Papanasam,Thiruvaiyaru,456/14,1,2.8,10.975149,79.313596,Garden Land,Borewell,Clay Loam
P0403,F0061,Thanjavur,Papanasam,Ayyampettai,983/18,5,2.28,10.993302,79.488396,Wetland,River,Clay Loam
P0404,F0142,Cuddalore,Cuddalore,Parangipettai,964/16,4,0.7,11.326535,79.45634,Wetland,Borewell,Clay
P0405,F0028,Thanjavur,Orathanadu,Thiruvaiyaru,442/20,4,1.69,10.82243,79.142532,Wetland,Canal,Clay
P0406,F0276,Thanjavur,Thanjavur,Thiruvaiyaru,218/3,2,1.43,10.587944,79.392746,Garden Land,River,Alluvial
P0407,F0297,Thanjavur,Thanjavur,Budalur,433/8,1,2.47,10.662986,79.099376,Dryland,Borewell,Clay
P0408,F0122,Thanjavur,Thanjavur,Thiruvaiyaru,325/3,4,1.5,10.868874,79.434943,Garden Land,River,Clay
P0409,F0224,Cuddalore,Virudhachalam,Parangipettai,496/12,2,1.76,11.372471,79.863944,Dryland,Borewell,Loam
P0410,F0139,Cuddalore,Virudhachalam,Parangipettai,161/9,2,0.48,11.401105,79.463606,Wetland,River,Sandy Loam
P0411,F0215,Thanjavur,Thanjavur,Thiruvaiyaru,718/6,5,2.08,10.585601,79.171788,Wetland,Rainfed,Alluvial
P0412,F0118,Cuddalore,Cuddalore,Nallur,321/19,4,1.87,11.343237,79.828487,Dryland,Tank,Clay
P0413,F0220,Cuddalore,Cuddalore,Parangipettai,693/8,5,1.35,11.668089,79.523327,Wetland,Rainfed,Clay
P0414,F0214,Thanjavur,Orathanadu,Ammapettai,887/17,1,1.81,10.990092,79.020029,Dryland,Rainfed,Sandy Loam
P0415,F0246,Thanjavur,Kumbakonam,Budalur,607/8,1,0.41,10.904858,79.348327,Garden Land,Canal,Sandy Loam
P0416,F0112,Thanjavur,Thanjavur,Melattur,192/1,4,2.37,10.566356,79.147895,Garden Land,Tank,Clay Loam
P0417,F0236,Cuddalore,Chidambaram,Parangipettai,565/15,2,0.38,11.728961,79.773643,Garden Land,River,Clay Loam
P0418,F0190,Cuddalore,Cuddalore,Kumaratchi,742/3,4,0.3,11.613405,79.751951,Garden Land,Tank,Alluvial
P0419,F0017,Thanjavur,Kumbakonam,Ayyampettai,727/18,5,2.53,10.648295,79.376444,Wetland,Canal,Alluvial
P0420,F0172,Cuddalore,Chidambaram,Kurinjipadi,790/12,1,3.33,11.66788,79.427406,Wetland,River,Loam
P0421,F0239,Cuddalore,Panruti,Kurinjipadi,672/3,5,0.86,11.609567,79.582786,Garden Land,Borewell,Clay Loam
P0422,F0172,Cuddalore,Chidambaram,Kurinjipadi,870/19,2,1.83,11.419316,79.456779,Garden Land,Borewell,Loam
P0423,F0181,Cuddalore,Virudhachalam,Kumaratchi,155/3,3,1.3,11.748967,79.651783,Dryland,River,Sandy Loam
P0424,F0257,Thanjavur,Papanasam,Melattur,794/18,3,2.54,10.763341,79.061355,Dryland,Rainfed,Loam
P0425,F0345,Cuddalore,Virudhachalam,Kumaratchi,167/7,4,1.47,11.772683,79.804398,Wetland,Canal,Sandy Loam
P0426,F0092,Cuddalore,Cuddalore,Nallur,382/4,2,0.56,11.444186,79.878313,Dryland,Borewell,Clay Loam
P0427,F0267,Cuddalore,Panruti,Nallur,798/18,2,1.63,11.776052,79.411345,Dryland,Tank,Sandy Loam
P0428,F0228,Thanjavur,Papanasam,Thiruvaiyaru,122/8,5,0.9,10.868855,79.010741,Garden Land,Tank,Sandy Loam
P0429,F0297,Thanjavur,Thanjavur,Budalur,707/17,5,1.34,10.671396,79.323026,Dryland,River,Loam
P0430,F0291,Thanjavur,Thanjavur,Thiruvaiyaru,366/8,4,0.85,10.565977,79.394674,Dryland,Tank,Clay
P0431,F0076,Cuddalore,Cuddalore,Kumaratchi,264/18,3,0.5,11.47656,79.627963,Wetland,Borewell,Clay Loam
