parcel_id,sample_date,pH,nitrogen,phosphorus,potassium,organic_carbon,electrical_conductivity,soil_type
P0169,2025-05-04,7.94,151.7,31.4,239.9,0.47,0.88,Sandy Loam
P0169,2024-05-10,6.05,227.8,26.0,173.2,1.13,1.09,Sandy Loam
P0170,2024-12-07,5.91,384.3,56.1,164.3,0.96,1.39,Clay
P0170,2025-05-19,7.1,350.0,29.2,207.8,0.81,1.49,Clay
P0170,2024-08-12,7.61,185.9,10.1,298.7,0.32,1.44,Clay
P0171,2024-04-22,5.68,217.8,52.4,270.7,1.28,0.81,Sandy Loam
P0172,2025-07-18,8.42,375.6,22.1,262.1,0.37,0.43,Clay
P0173,2024-05-26,6.63,127.4,58.2,161.8,1.14,1.69,Sandy Loam
P0173,2024-03-16,6.93,286.3,17.9,112.3,0.47,0.69,Sandy Loam
P0173,2024-01-13,7.21,347.8,17.5,120.1,1.19,1.9,Sandy Loam
P0174,2024-11-02,6.91,322.3,32.2,221.9,0.32,0.37,Clay
P0174,2024-03-02,8.14,129.0,47.6,190.7,0.31,2.1,Clay
P0174,2025-11-27,8.34,247.2,45.6,136.8,0.99,0.83,Clay
P0175,2025-03-09,8.29,196.1,14.6,163.1,1.44,1.88,Alluvial
P0176,2025-09-25,5.67,229.8,51.1,294.7,1.03,0.29,Clay Loam
P0176,2025-04-24,6.93,302.8,30.3,163.7,0.37,0.99,Clay Loam
P0177,2024-07-18,6.31,149.2,28.1,251.3,0.7,0.67,Clay
P0177,2024-06-15,7.12,138.3,39.9,246.4,0.67,1.42,Clay
P0178,2024-02-03,6.22,143.8,38.5,89.9,1.48,1.26,Clay
P0178,2024-02-19,6.44,384.2,10.4,158.5,0.64,1.06,Clay
P0178,2024-07-18,6.44,229.4,27.8,108.5,1.11,0.9,Clay
P0179,2025-05-30,5.8,346.1,17.5,209.2,0.76,1.51,Clay Loam
P0179,2024-02-08,6.37,162.4,33.2,274.7,0.41,1.82,Clay Loam
P0179,2024-08-08,7.92,303.2,48.4,115.4,1.46,1.34,Clay Loam
P0180,2025-09-15,7.45,380.5,27.1,252.8,0.71,0.96,Alluvial
P0180,2025-03-17,5.62,319.6,44.1,132.6,1.5,1.56,Alluvial
P0180,2024-06-05,7.2,398.4,14.9,83.3,1.22,0.84,Alluvial
P0181,2025-05-25,5.78,207.8,56.7,115.5,0.64,0.97,Clay Loam
P0182,2024-03-13,6.04,336.1,22.9,184.1,0.61,2.2,Alluvial
P0183,2024-05-23,8.32,392.1,34.4,160.0,0.64,1.08,Loam
P0183,2025-09-26,8.25,156.1,28.3,265.9,1.44,1.0,Loam
P0183,2025-11-29,6.74,246.0,53.9,298.1,0.35,2.45,Loam
P0184,2024-09-07,7.6,277.0,17.7,103.2,0.75,1.47,Sandy Loam
P0185,2024-08-16,6.66,249.4,14.7,182.5,1.07,2.26,Clay Loam
P0186,2024-04-21,5.76,324.9,55.9,282.9,1.22,0.58,Alluvial
P0186,2024-12-02,5.69,215.9,40.2,126.8,1.19,0.37,Alluvial
P0187,2024-02-09,7.14,385.6,17.3,127.0,0.98,2.47,Clay Loam
P0187,2025-01-24,5.69,346.4,49.5,295.3,0.56,0.61,Clay Loam
P0188,2025-12-01,6.77,190.6,18.8,111.2,0.63,0.3,Alluvial
P0189,2025-04-07,8.11,266.9,43.5,137.1,1.3,0.32,Sandy Loam
P0189,2025-03-14,6.53,330.9,18.2,156.8,0.8,1.24,Sandy Loam
P0189,2024-06-13,8.4,242.3,55.6,205.5,1.29,1.45,Sandy Loam
P0190,2024-07-22,5.73,307.0,40.8,151.2,1.48,2.35,Sandy Loam
P0190,2024-11-20,5.54,371.0,56.7,189.9,0.68,2.0,Sandy Loam
P0190,2025-11-21,6.72,265.8,10.2,179.1,1.3,0.4,Sandy Loam
P0191,2025-10-16,8.41,147.3,20.9,295.4,0.8,1.41,Sandy Loam
P0191,2024-06-19,7.3,180.5,20.5,122.1,1.12,2.39,Sandy Loam
P0192,2025-01-07,5.55,371.1,35.1,270.9,1.14,1.66,Alluvial
P0192,2025-04-11,6.74,218.5,51.4,173.7,1.47,0.91,Alluvial
P0193,2025-04-14,6.79,169.5,39.7,199.4,0.76,2.13,Clay Loam
P0194,2025-11-27,6.81,199.3,41.0,283.5,1.33,2.49,Clay Loam
P0194,2024-04-16,5.77,124.6,56.6,102.8,1.2,1.6,Clay Loam
P0194,2025-07-11,5.8,244.3,39.1,87.2,0.65,1.11,Clay Loam
P0195,2025-04-10,7.15,152.1,52.8,289.1,0.72,2.01,Alluvial
P0196,2025-02-26,8.22,300.6,49.2,167.1,1.43,1.98,Alluvial
P0196,2025-06-03,6.35,366.3,23.2,264.5,1.25,1.1,Alluvial
P0197,2024-01-05,8.2,236.1,10.8,113.7,0.75,2.06,Alluvial
P0198,2025-09-06,6.45,167.7,38.6,174.6,0.97,1.04,Clay
P0198,2025-09-23,7.43,352.0,50.1,207.1,0.45,1.63,Clay
P0198,2024-06-26,6.71,209.1,17.9,130.8,1.15,0.4,Clay
P0199,2025-10-08,7.23,229.8,48.1,281.7,1.3,0.48,Sandy Loam
P0200,2024-07-27,5.78,127.2,10.6,249.4,0.48,1.58,Sandy Loam
P0200,2025-07-10,8.26,142.1,29.1,243.3,0.46,1.19,Sandy Loam
P0201,2025-01-01,6.06,302.7,21.1,122.6,1.31,1.84,Sandy Loam
P0201,2025-01-22,7.81,304.6,23.7,285.7,1.05,1.63,Sandy Loam
P0201,2025-08-16,8.1,151.1,56.4,107.0,0.47,0.73,Sandy Loam
P0202,2024-04-05,5.73,356.5,55.6,125.8,0.42,2.01,Clay
P0203,2024-03-16,6.96,295.2,20.5,172.4,1.37,1.62,Clay
P0203,2025-04-06,7.93,170.3,10.5,119.3,0.98,1.56,Clay
P0204,2024-04-30,8.43,398.2,34.2,215.1,0.96,0.48,Clay
P0205,2024-09-17,8.28,174.0,11.5,85.1,0.91,0.47,Sandy Loam
P0205,2025-01-08,5.84,180.7,26.4,128.3,1.17,2.36,Sandy Loam
P0205,2024-10-01,6.32,175.8,14.6,235.8,1.08,1.22,Sandy Loam
P0206,2025-03-22,7.04,232.0,19.7,118.1,1.12,2.23,Sandy Loam
P0206,2024-10-14,8.39,148.8,49.7,209.3,0.5,0.59,Sandy Loam
P0207,2025-05-14,6.8,244.9,39.8,139.8,0.68,0.36,Loam
P0207,2025-01-27,6.79,278.8,28.7,219.2,0.38,0.5,Loam
P0207,2024-02-04,8.37,190.9,30.5,212.9,1.35,2.38,Loam
P0208,2024-12-26,6.69,152.1,50.5,174.5,0.52,0.69,Alluvial
P0208,2024-08-08,7.47,224.1,49.0,106.9,0.68,0.13,Alluvial
P0208,2024-12-02,6.14,278.9,26.1,131.2,0.38,0.78,Alluvial
P0209,2025-06-23,6.15,277.1,45.8,288.2,1.27,1.71,Clay Loam
P0210,2025-10-23,6.77,331.7,25.9,150.4,0.54,2.03,Loam
P0210,2025-05-25,5.64,196.8,16.0,179.6,1.02,1.52,Loam
P0210,2024-08-30,7.23,199.8,42.2,268.3,1.49,2.29,Loam
P0211,2024-05-14,8.02,232.8,54.8,282.0,0.35,1.65,Alluvial
P0211,2024-03-12,6.91,352.4,30.8,146.2,0.68,0.93,Alluvial
P0212,2025-07-23,7.82,258.3,12.4,145.7,1.48,1.28,Alluvial
P0213,2024-05-04,8.03,382.6,15.1,129.3,1.29,0.43,Clay Loam
P0213,2024-11-26,8.08,322.8,21.3,99.4,1.17,2.05,Clay Loam
P0213,2025-07-04,8.47,381.6,53.4,137.1,1.24,0.37,Clay Loam
P0214,2024-03-17,6.29,312.6,49.6,163.5,1.14,2.32,Alluvial
P0214,2025-08-20,6.88,155.4,53.1,245.7,1.37,2.42,Alluvial
P0215,2025-10-14,6.84,154.3,36.4,207.1,1.09,2.44,Sandy Loam
P0215,2024-11-25,7.82,255.2,14.6,248.6,1.15,0.95,Sandy Loam
P0216,2025-11-06,7.44,359.6,44.7,96.5,0.89,0.61,Alluvial
P0217,2024-08-09,6.9,227.8,34.4,154.9,1.28,1.93,Loam
P0217,2025-06-10,8.08,332.9,25.6,179.9,0.48,1.31,Loam
P0217,2024-05-13,6.16,221.8,58.8,270.9,0.92,1.97,Loam
P0218,2024-03-11,6.33,166.0,25.4,271.4,1.08,0.45,Alluvial
P0219,2024-04-22,6.22,370.3,19.4,86.3,1.09,1.19,Alluvial
P0220,2024-05-01,8.28,143.5,31.6,113.1,0.9,1.32,Loam
P0220,2024-02-24,6.82,223.5,12.5,164.2,1.41,0.57,Loam
P0221,2025-02-16,6.03,197.3,40.4,194.1,0.43,0.22,Clay
P0222,2024-04-23,6.16,134.9,11.8,138.6,0.38,0.34,Sandy Loam
P0223,2025-09-27,7.6,233.3,29.6,128.4,1.29,1.76,Clay Loam
P0224,2024-07-29,6.01,177.0,41.8,235.3,0.65,0.11,Sandy Loam
P0224,2024-07-08,7.01,316.1,33.8,147.2,1.39,0.67,Sandy Loam
P0225,2025-11-28,5.71,172.5,55.0,111.2,0.32,1.24,Loam
P0225,2024-12-08,5.56,392.8,54.1,117.6,1.21,0.12,Loam
P0226,2025-04-30,7.25,256.7,22.4,104.1,1.28,1.46,Alluvial
P0226,2024-10-24,8.01,267.1,18.4,112.2,0.41,0.83,Alluvial
P0227,2024-12-09,6.86,325.7,59.5,136.6,0.88,0.97,Clay
P0227,2024-01-14,7.98,204.3,26.7,193.9,1.1,2.18,Clay
P0227,2025-09-02,6.95,195.6,36.0,220.8,0.48,1.08,Clay
P0228,2025-11-06,8.48,220.0,11.5,207.1,1.13,1.13,Clay Loam
P0229,2024-04-01,6.08,387.3,41.9,292.4,1.35,1.73,Loam
P0230,2025-06-23,6.02,374.9,27.4,152.9,1.01,2.37,Clay Loam
P0230,2024-10-09,6.43,131.5,36.0,155.5,1.03,1.14,Clay Loam
P0231,2025-08-03,8.4,341.9,24.4,293.3,0.9,1.75,Sandy Loam
P0231,2025-04-22,7.54,266.5,24.5,202.8,0.5,1.27,Sandy Loam
P0232,2024-10-28,5.55,131.5,24.2,210.5,0.36,0.83,Alluvial
P0233,2024-12-26,7.48,120.2,22.6,157.0,0.64,2.16,Sandy Loam
P0233,2025-11-12,8.38,277.0,57.7,236.9,0.47,1.86,Sandy Loam
P0234,2025-08-22,8.25,201.4,11.6,285.2,0.6,1.73,Clay
P0234,2025-01-30,6.77,390.7,14.9,137.5,0.66,0.85,Clay
P0235,2025-03-22,7.54,210.3,38.9,230.3,0.54,0.43,Loam
P0235,2025-07-21,6.1,205.4,24.9,284.0,0.85,0.54,Loam
P0235,2025-03-23,5.79,267.4,44.7,190.8,1.12,0.96,Loam
P0236,2025-03-13,6.9,389.2,33.1,280.8,0.33,1.94,Clay Loam
P0236,2024-03-31,7.77,292.3,25.1,133.4,0.91,0.41,Clay Loam
P0237,2025-08-02,8.13,135.0,52.3,107.7,1.1,1.21,Clay Loam
P0237,2025-06-14,6.88,135.2,12.7,262.6,1.08,0.9,Clay Loam
P0237,2024-04-09,7.97,278.3,44.5,270.1,0.45,1.5,Clay Loam
P0238,2024-02-24,7.6,264.6,38.1,292.8,0.46,2.25,Loam
P0238,2025-10-17,8.06,204.2,25.5,297.6,0.31,1.26,Loam
P0238,2024-07-24,5.84,120.0,40.2,106.6,0.42,0.59,Loam
P0239,2024-01-26,8.0,244.3,12.8,106.8,0.79,2.46,Loam
P0239,2024-08-28,8.03,273.1,51.1,229.9,1.33,1.58,Loam
P0240,2024-05-29,7.41,171.7,50.9,224.6,0.5,1.88,Sandy Loam
P0240,2025-07-13,6.1,254.5,24.5,102.0,1.01,0.98,Sandy Loam
P0241,2025-02-04,6.66,344.0,33.2,259.0,0.48,0.78,Clay Loam
P0241,2024-05-03,7.19,123.1,25.1,221.9,1.37,1.59,Clay Loam
P0242,2024-12-29,8.39,251.0,46.2,140.9,1.48,0.96,Loam
P0243,2024-08-03,6.55,317.7,29.5,93.8,1.09,0.94,Clay Loam
P0243,2025-07-30,6.52,320.3,49.3,141.2,1.22,0.83,Clay Loam
P0243,2025-02-07,5.7,355.0,34.2,291.8,1.03,0.53,Clay Loam
P0244,2025-06-03,7.83,267.1,16.5,151.3,1.45,0.94,Loam
P0244,2025-09-24,7.99,138.9,11.5,241.2,0.58,1.7,Loam
P0244,2025-05-26,8.3,253.4,48.0,295.9,1.27,1.86,Loam
P0245,2024-04-17,8.2,168.7,54.6,246.3,0.8,0.25,Loam
P0246,2024-09-13,5.84,357.1,13.6,247.9,1.03,2.12,Sandy Loam
P0246,2024-06-27,6.46,315.6,28.9,297.6,0.99,0.58,Sandy Loam
P0246,2024-09-15,6.97,310.1,21.3,243.3,0.82,1.37,Sandy Loam
P0247,2024-03-29,7.25,296.2,43.4,124.8,1.27,2.24,Clay Loam
P0248,2025-02-21,7.2,362.1,27.0,230.1,1.45,1.85,Clay
P0248,2025-06-24,6.99,353.1,38.5,184.2,0.72,1.58,Clay
P0249,2024-05-21,7.9,242.9,41.3,272.3,0.98,0.41,Loam
P0249,2025-06-13,6.39,153.0,21.5,212.3,0.7,0.64,Loam
P0249,2024-10-23,8.27,190.4,45.2,94.9,1.35,2.42,Loam
P0250,2025-07-01,7.23,358.9,56.6,190.0,0.78,0.24,Alluvial
P0251,2024-04-23,7.25,382.3,59.2,223.7,0.34,1.11,Loam
P0251,2024-07-24,6.5,334.1,17.0,200.4,1.18,2.32,Loam
P0251,2025-11-10,8.24,137.5,34.7,257.2,0.98,1.56,Loam
P0252,2024-12-20,8.44,386.0,39.9,214.7,0.4,1.42,Sandy Loam
P0253,2024-10-04,7.67,149.1,34.8,129.6,0.72,1.25,Clay
P0254,2024-01-22,8.29,127.4,49.1,123.2,1.03,1.01,Clay Loam
P0255,2024-01-19,7.16,134.6,48.3,233.0,0.82,1.12,Alluvial
P0255,2024-05-21,5.85,153.0,40.8,278.8,0.72,0.92,Alluvial
P0255,2024-02-29,6.21,145.8,10.5,170.9,1.2,2.04,Alluvial
P0256,2025-08-04,5.64,344.5,53.7,135.0,0.37,0.24,Alluvial
P0256,2025-03-25,6.04,132.2,27.5,224.1,0.59,0.8,Alluvial
P0256,2025-09-12,6.69,304.1,42.8,96.8,1.43,0.59,Alluvial
P0257,2024-12-31,8.19,360.5,32.2,146.6,0.74,1.42,Sandy Loam
P0257,2025-10-31,6.23,370.0,25.9,199.1,0.43,0.93,Sandy Loam
P0257,2025-02-24,7.62,294.1,24.0,124.8,0.46,2.44,Sandy Loam
P0258,2024-11-08,7.73,179.0,28.6,259.6,0.47,2.45,Sandy Loam
P0259,2025-03-26,7.45,247.1,15.7,189.8,0.34,0.77,Clay
P0259,2025-01-28,6.4,390.2,13.0,268.0,0.76,0.15,Clay
P0259,2025-01-26,6.65,132.4,20.3,120.6,0.82,0.23,Clay
P0260,2024-02-02,7.12,217.4,11.3,213.9,1.37,2.31,Loam
P0260,2024-09-25,7.93,285.5,47.9,155.0,1.3,1.14,Loam
P0261,2024-02-28,7.92,274.9,57.6,285.1,0.64,2.48,Sandy Loam
P0261,2025-07-01,6.89,280.3,38.4,194.2,0.5,1.02,Sandy Loam
P0262,2024-08-31,5.9,124.3,50.0,289.2,0.4,0.7,Loam
P0262,2025-07-09,6.39,279.9,11.9,140.3,0.62,0.7,Loam
P0262,2025-10-30,7.93,290.2,16.2,205.1,0.69,0.73,Loam
P0263,2025-03-30,6.89,243.2,33.3,292.5,0.88,2.13,Loam
P0264,2025-02-22,5.68,382.9,23.8,214.3,0.68,0.25,Clay Loam
P0265,2024-09-21,7.8,197.3,53.5,108.0,1.06,0.45,Alluvial
P0266,2025-11-02,5.65,152.0,11.9,230.6,1.33,1.49,Clay
P0266,2024-02-12,7.16,183.8,57.6,298.2,1.47,0.14,Clay
P0266,2024-12-27,7.12,132.5,21.7,104.0,0.91,0.37,Clay
P0267,2024-08-30,6.11,279.7,51.5,229.8,0.39,1.12,Sandy Loam
P0268,2024-05-26,5.57,290.0,28.0,294.5,1.38,1.0,Sandy Loam
P0268,2024-10-28,7.37,164.9,12.2,284.7,1.39,0.16,Sandy Loam
P0269,2024-08-04,7.92,263.0,49.0,191.8,1.0,0.93,Alluvial
P0269,2024-08-08,6.64,283.2,42.9,113.0,1.22,1.66,Alluvial
P0269,2024-03-20,8.38,397.8,38.3,299.5,1.06,1.86,Alluvial
P0270,2024-05-04,8.04,267.8,12.6,183.9,0.93,1.16,Clay Loam
P0270,2024-10-02,6.09,281.1,55.6,152.3,1.26,2.45,Clay Loam
P0270,2024-08-24,6.87,329.5,15.8,133.0,1.18,2.21,Clay Loam
P0271,2024-03-22,6.56,261.6,55.7,223.7,1.03,1.18,Sandy Loam
P0271,2025-03-04,6.19,351.8,59.3,283.7,0.59,2.28,Sandy Loam
P0272,2025-08-21,7.5,289.6,49.8,155.1,0.44,1.08,Alluvial
P0272,2025-06-01,8.45,281.3,41.6,250.0,1.38,2.2,Alluvial
P0272,2024-01-16,6.0,237.2,48.3,236.5,0.86,0.34,Alluvial
P0273,2025-03-17,5.57,166.7,13.7,193.3,0.94,1.03,Loam
P0274,2024-12-28,5.88,315.1,22.1,144.5,0.7,2.08,Clay Loam
P0274,2024-12-10,7.27,292.7,59.7,90.0,1.19,0.95,Clay Loam
P0275,2025-02-22,7.39,327.4,31.8,246.7,1.14,1.86,Loam
P0275,2025-08-26,8.25,382.3,14.2,277.0,1.01,0.99,Loam
P0276,2025-04-09,6.64,242.8,35.4,209.4,1.43,0.33,Clay
P0276,2024-10-31,6.98,133.5,35.9,195.5,0.91,2.33,Clay
P0276,2024-10-19,6.47,209.2,18.9,111.5,1.28,1.86,Clay
P0277,2024-08-03,6.79,197.9,54.0,149.2,0.72,0.5,Loam
P0277,2024-10-21,6.32,242.9,54.3,143.5,1.4,2.47,Loam
P0277,2024-04-18,8.27,306.6,17.1,125.5,1.31,1.91,Loam
P0278,2025-09-04,8.21,388.8,37.0,255.8,0.31,2.1,Sandy Loam
P0279,2025-01-13,6.11,383.7,38.6,241.1,0.93,2.09,Clay
P0280,2024-04-22,7.65,377.4,16.0,275.6,0.89,0.31,Sandy Loam
P0280,2024-05-20,8.48,324.9,15.8,157.8,0.39,2.0,Sandy Loam
P0281,2024-03-17,6.48,262.0,23.8,218.7,0.92,1.96,Clay
P0281,2024-11-18,8.18,130.7,15.0,235.1,0.93,0.56,Clay
P0281,2025-07-25,7.48,365.7,11.8,219.6,0.31,0.43,Clay
P0282,2024-08-13,7.52,194.3,17.6,259.1,1.18,0.78,Sandy Loam
P0282,2024-07-22,7.4,144.8,35.8,239.1,0.56,1.14,Sandy Loam
P0283,2025-07-25,7.33,318.8,11.9,231.4,1.04,1.61,Loam
P0283,2024-08-28,7.41,255.6,42.8,119.6,0.66,0.66,Loam
P0284,2025-11-15,6.96,343.1,29.6,158.6,0.88,0.33,Clay Loam
P0284,2024-04-25,8.39,371.1,48.2,172.3,0.84,0.69,Clay Loam
P0285,2024-04-28,6.03,387.8,43.0,156.5,0.78,0.41,Clay Loam
P0285,2025-05-10,8.02,361.9,40.1,231.2,0.33,0.74,Clay Loam
P0286,2025-02-22,5.68,336.1,23.1,149.9,0.77,1.16,Sandy Loam
P0287,2024-09-23,8.24,195.1,46.4,154.8,1.28,0.84,Sandy Loam
P0287,2025-02-23,6.16,365.2,36.8,251.5,0.43,2.42,Sandy Loam
P0288,2024-12-03,5.89,271.1,57.5,84.6,0.76,1.97,Clay
P0288,2024-12-07,8.24,334.7,37.6,224.1,0.92,0.97,Clay
P0288,2024-07-22,8.46,354.7,29.8,237.9,0.65,0.49,Clay
P0289,2024-12-05,6.74,274.8,22.4,83.0,1.31,1.91,Loam
P0289,2025-06-23,5.81,231.4,34.2,114.5,0.66,0.65,Loam
P0290,2024-09-10,5.6,330.0,50.6,163.1,0.78,2.06,Alluvial
P0290,2024-10-03,8.09,141.4,35.2,234.8,1.18,0.15,Alluvial
P0290,2025-07-08,7.31,162.5,46.8,254.4,0.53,1.55,Alluvial
P0291,2024-11-27,6.78,328.2,25.1,181.0,0.42,2.43,Clay
P0291,2025-08-13,6.91,201.5,14.7,292.7,0.97,1.26,Clay
P0292,2025-06-30,7.02,227.1,59.7,240.1,1.44,1.93,Clay
P0292,2024-04-20,6.86,281.8,11.2,249.7,0.84,1.24,Clay
P0292,2024-04-21,7.43,213.1,50.5,294.7,0.41,0.51,Clay
P0293,2025-08-30,6.25,159.6,40.8,184.2,1.17,1.46,Clay Loam
P0293,2024-08-26,5.68,258.2,30.6,242.9,1.3,0.19,Clay Loam
P0294,2025-08-01,7.3,364.0,23.4,126.0,0.97,1.27,Clay Loam
P0294,2025-05-26,6.44,302.6,26.1,236.0,0.92,2.16,Clay Loam
P0294,2024-03-24,8.26,239.2,13.9,108.0,0.32,1.35,Clay Loam
P0295,2024-06-19,6.09,363.5,15.7,274.8,0.89,1.6,Sandy Loam
P0296,2025-05-13,5.92,364.8,30.9,82.0,0.44,2.49,Clay
P0296,2025-11-23,6.31,210.3,54.5,204.0,0.5,0.8,Clay
P0296,2024-07-28,7.91,386.6,28.6,213.0,0.87,0.61,Clay
P0297,2024-05-18,5.99,320.2,33.7,149.9,0.52,1.23,Loam
P0297,2024-01-06,6.44,172.5,44.7,198.3,0.7,0.25,Loam
P0298,2025-08-31,5.97,218.1,38.0,129.7,1.05,2.33,Alluvial
P0298,2024-10-08,6.35,375.2,31.3,240.5,0.74,1.94,Alluvial
P0299,2025-07-28,7.12,304.6,13.9,113.5,1.18,0.77,Alluvial
P0299,2024-09-26,7.19,155.5,36.1,221.9,0.76,1.48,Alluvial
P0300,2025-09-11,6.33,346.0,53.6,227.1,0.87,0.5,Alluvial
P0300,2024-08-25,8.47,145.6,50.2,112.2,0.5,2.2,Alluvial
P0300,2024-11-27,5.73,391.6,16.8,257.6,0.81,1.23,Alluvial
P0301,2025-05-27,7.78,187.4,29.7,250.3,1.15,0.95,Loam
P0301,2025-06-18,6.45,141.9,40.3,127.1,0.5,1.62,Loam
P0302,2024-05-26,8.02,276.9,34.5,253.6,1.12,1.44,Clay Loam
P0302,2025-03-21,7.46,169.8,53.3,268.2,1.22,0.93,Clay Loam
P0303,2024-08-06,7.35,365.4,56.0,122.0,0.75,2.34,Clay Loam
P0303,2024-01-11,6.09,221.1,19.7,209.0,0.69,2.29,Clay Loam
P0304,2025-05-29,8.26,289.9,11.7,140.5,0.87,0.21,Loam
P0304,2024-09-16,6.32,136.0,38.6,86.7,1.16,1.23,Loam
P0305,2025-10-09,6.86,168.7,47.5,222.5,0.95,0.35,Loam
P0305,2025-01-13,5.59,370.4,17.7,242.0,1.35,0.42,Loam
P0305,2025-03-05,8.0,153.4,32.2,236.3,0.68,2.16,Loam
P0306,2024-07-17,7.47,326.5,26.6,227.8,1.38,2.25,Sandy Loam
P0306,2024-06-22,8.22,284.3,57.2,193.6,1.43,1.07,Sandy Loam
P0307,2025-11-16,5.68,174.0,48.1,112.5,0.62,0.51,Loam
P0307,2024-02-15,6.33,175.6,35.3,118.1,1.2,2.11,Loam
P0307,2024-01-04,6.43,277.0,15.9,182.6,1.3,0.31,Loam
P0308,2024-03-31,5.85,145.4,46.5,120.8,1.01,2.42,Sandy Loam
P0308,2024-06-22,7.87,180.9,28.7,97.9,1.17,0.69,Sandy Loam
P0309,2025-10-19,8.33,362.1,47.4,242.4,0.67,1.01,Clay
P0309,2024-10-20,6.03,159.3,25.8,129.7,0.53,2.22,Clay
P0309,2024-06-30,8.44,192.6,32.0,100.3,0.73,0.97,Clay
P0310,2025-06-19,6.85,296.7,51.6,88.1,1.3,1.03,Loam
P0310,2025-07-04,7.21,398.3,31.7,222.1,1.12,0.79,Loam
P0310,2024-12-16,7.6,261.1,51.5,254.7,0.41,1.96,Loam
P0311,2024-08-11,6.9,128.8,15.8,224.8,0.52,0.44,Clay
P0311,2025-08-23,6.47,277.9,42.9,278.3,0.69,0.35,Clay
P0312,2024-01-09,5.98,253.1,26.8,278.7,0.52,0.96,Clay
P0312,2024-06-15,6.9,172.1,11.1,258.0,0.85,1.48,Clay
P0313,2025-02-12,6.92,188.2,46.2,212.2,0.88,1.06,Clay
P0313,2024-02-11,8.41,365.7,48.2,278.2,0.91,1.11,Clay
P0314,2025-08-14,6.7,128.0,35.6,282.9,1.36,2.42,Sandy Loam
P0314,2025-06-20,6.1,392.3,47.6,108.6,0.7,2.4,Sandy Loam
P0315,2024-11-12,7.88,159.6,27.3,167.1,0.85,1.68,Clay
P0316,2024-06-25,6.4,142.5,21.8,124.7,0.41,0.69,Clay
P0317,2025-07-22,8.04,224.8,33.9,155.8,0.86,1.75,Clay Loam
P0317,2024-08-05,8.24,307.2,51.6,235.4,1.22,0.33,Clay Loam
P0317,2024-05-11,6.46,381.9,30.0,152.0,0.64,1.72,Clay Loam
P0318,2025-09-03,6.68,140.1,34.4,242.9,1.0,0.63,Alluvial
P0318,2025-09-15,6.03,185.8,28.1,190.3,0.3,1.54,Alluvial
P0319,2024-03-20,7.44,158.7,19.4,126.5,0.82,0.92,Clay
P0319,2025-10-31,6.04,162.2,25.6,228.6,0.88,0.73,Clay
P0320,2024-07-02,5.99,311.1,51.7,182.3,0.4,1.75,Sandy Loam
P0320,2024-04-13,7.47,233.3,50.3,115.4,0.45,1.32,Sandy Loam
P0321,2025-04-10,5.53,303.1,43.5,172.9,0.37,1.12,Sandy Loam
P0321,2025-10-11,5.85,346.0,55.4,190.5,1.24,1.81,Sandy Loam
P0321,2025-07-01,8.42,151.3,18.9,173.3,1.21,2.19,Sandy Loam
P0322,2024-06-02,5.52,385.5,45.4,136.7,0.92,1.57,Alluvial
P0323,2025-03-21,5.65,198.9,16.1,187.7,0.74,2.23,Clay Loam
P0323,2025-01-13,6.26,214.5,24.8,260.2,0.95,0.53,Clay Loam
P0324,2025-03-03,5.55,210.9,41.8,211.1,0.73,0.19,Loam
P0324,2025-02-09,6.25,143.5,14.7,239.9,1.06,1.13,Loam
P0325,2024-12-19,8.42,312.9,22.2,261.6,1.3,1.86,Sandy Loam
P0325,2025-06-20,7.21,131.4,26.3,88.4,1.03,1.84,Sandy Loam
P0326,2025-01-26,7.04,323.1,26.9,220.1,0.66,1.06,Clay
P0327,2024-09-20,7.66,328.0,14.0,280.7,1.46,2.0,Loam
P0328,2024-09-24,8.48,292.4,37.0,254.6,1.13,0.22,Loam
P0328,2025-08-10,6.92,333.0,31.8,244.3,1.23,0.76,Loam
P0328,2025-11-18,5.64,231.6,19.1,142.7,0.31,0.6,Loam
P0329,2025-11-03,5.89,194.8,40.0,294.7,0.68,0.63,Alluvial
P0329,2024-01-19,7.63,181.9,40.6,240.2,1.03,1.21,Alluvial
P0330,2025-10-12,7.29,271.6,33.8,202.7,0.71,0.87,Sandy Loam
P0330,2025-03-31,5.96,359.2,34.9,197.1,0.5,1.04,Sandy Loam
P0331,2024-02-03,7.48,280.0,13.9,187.0,1.48,0.3,Alluvial
P0331,2025-06-26,6.61,201.7,25.8,228.4,0.34,1.6,Alluvial
P0332,2025-10-01,6.55,240.8,59.8,85.1,1.47,1.44,Loam
P0333,2024-08-28,6.63,270.5,28.9,288.7,0.45,1.05,Sandy Loam
P0333,2024-08-04,8.48,279.8,18.9,115.0,1.23,1.86,Sandy Loam
P0334,2025-07-17,6.73,330.4,30.9,211.8,0.68,0.97,Clay
P0334,2024-04-18,7.49,312.3,41.7,220.0,0.9,1.38,Clay
P0335,2025-02-17,6.98,249.9,51.3,178.9,1.41,0.53,Clay
P0336,2024-01-04,7.1,213.5,33.2,117.9,1.39,1.02,Clay Loam
P0336,2025-10-30,6.75,237.1,19.4,86.4,0.57,1.56,Clay Loam
P0337,2024-03-23,7.3,325.0,57.3,151.5,0.6,1.47,Clay Loam
P0337,2025-04-28,7.55,386.5,11.1,212.3,1.25,1.03,Clay Loam
