parcel_id,date,crop_stage,risk_level,recommendation,source
P0122,2025-04-26,Flowering,medium,Monitor for stem borer — scout field edges.,rule_engine
P0122,2025-04-13,Peg Formation,low,Monitor for stem borer — scout field edges.,rule_engine
P0123,2025-06-14,Flowering,low,Do not irrigate today — soil moisture adequate.,rule_engine
P0123,2025-04-23,Seedling,high,Apply light irrigation in evening.,rule_engine
P0123,2025-06-18,Flowering,high,Monitor for stem borer — scout field edges.,ml_model
P0123,2025-01-04,Tillering,medium,Field conditions stable — continue regular monitoring.,rule_engine
P0123,2025-02-07,Flowering,low,Apply light irrigation in evening.,rule_engine
P0124,2025-05-05,Flowering,medium,Do not irrigate today — soil moisture adequate.,weather_service
P0124,2025-03-02,Germination,low,Do not irrigate today — soil moisture adequate.,rule_engine
P0124,2025-06-30,Peg Formation,medium,Delay fertilizer until rainfall subsides.,weather_service
P0124,2025-03-25,Flowering,high,Delay fertilizer until rainfall subsides.,rule_engine
P0125,2025-06-18,Seedling,high,Do not irrigate today — soil moisture adequate.,ml_model
P0125,2025-02-09,Maturity,high,Apply light irrigation in evening.,weather_service
P0125,2025-01-27,Panicle Initiation,high,Do not irrigate today — soil moisture adequate.,ml_model
P0125,2025-05-07,Peg Formation,low,Do not irrigate today — soil moisture adequate.,weather_service
P0125,2025-03-09,Flowering,low,Apply light irrigation in evening.,rule_engine
P0126,2025-04-20,Panicle Initiation,medium,Apply light irrigation in evening.,rule_engine
P0126,2025-01-18,Seedling,high,Monitor for stem borer — scout field edges.,rule_engine
P0126,2025-03-09,Peg Formation,high,Field conditions stable — continue regular monitoring.,ml_model
P0126,2025-01-29,Germination,low,Field conditions stable — continue regular monitoring.,rule_engine
P0126,2025-05-09,Peg Formation,high,Field conditions stable — continue regular monitoring.,rule_engine
P0126,2025-02-13,Seedling,high,Do not irrigate today — soil moisture adequate.,ml_model
P0126,2025-05-08,Panicle Initiation,medium,Delay fertilizer until rainfall subsides.,weather_service
P0127,2025-04-12,Panicle Initiation,low,Do not irrigate today — soil moisture adequate.,weather_service
P0127,2025-01-17,Vegetative,high,Do not irrigate today — soil moisture adequate.,rule_engine
P0127,2025-01-24,Vegetative,medium,Monitor for stem borer — scout field edges.,ml_model
P0127,2025-02-17,Peg Formation,medium,Do not irrigate today — soil moisture adequate.,rule_engine
P0127,2025-03-13,Maturity,high,Field conditions stable — continue regular monitoring.,ml_model
P0128,2025-06-11,Panicle Initiation,low,Delay fertilizer until rainfall subsides.,weather_service
P0128,2025-04-26,Maturity,low,Field conditions stable — continue regular monitoring.,ml_model
P0128,2025-05-13,Panicle Initiation,low,Apply light irrigation in evening.,ml_model
P0128,2025-05-03,Germination,low,Monitor for stem borer — scout field edges.,ml_model
P0128,2025-02-01,Seedling,medium,Apply light irrigation in evening.,weather_service
P0128,2025-06-06,Maturity,high,Do not irrigate today — soil moisture adequate.,rule_engine
P0128,2025-07-18,Maturity,high,Delay fertilizer until rainfall subsides.,ml_model
P0129,2025-07-06,Germination,low,Do not irrigate today — soil moisture adequate.,weather_service
P0129,2025-02-05,Tillering,medium,Delay fertilizer until rainfall subsides.,rule_engine
P0129,2025-02-18,Maturity,high,Monitor for stem borer — scout field edges.,rule_engine
P0129,2025-07-10,Seedling,low,Delay fertilizer until rainfall subsides.,weather_service
P0130,2025-06-13,Germination,high,Field conditions stable — continue regular monitoring.,rule_engine
P0130,2025-06-26,Maturity,high,Do not irrigate today — soil moisture adequate.,ml_model
P0130,2025-01-15,Flowering,medium,Field conditions stable — continue regular monitoring.,rule_engine
P0131,2025-01-21,Germination,low,Field conditions stable — continue regular monitoring.,ml_model
P0131,2025-01-16,Germination,high,Do not irrigate today — soil moisture adequate.,rule_engine
P0131,2025-07-17,Maturity,high,Do not irrigate today — soil moisture adequate.,rule_engine
P0131,2025-05-02,Tillering,medium,Field conditions stable — continue regular monitoring.,ml_model
P0132,2025-03-04,Maturity,high,Apply light irrigation in evening.,weather_service
P0132,2025-04-24,Tillering,medium,Delay fertilizer until rainfall subsides.,weather_service
P0132,2025-05-14,Vegetative,low,Field conditions stable — continue regular monitoring.,ml_model
P0132,2025-01-09,Germination,medium,Do not irrigate today — soil moisture adequate.,weather_service
P0132,2025-01-08,Flowering,low,Do not irrigate today — soil moisture adequate.,rule_engine
P0132,2025-04-29,Tillering,high,Monitor for stem borer — scout field edges.,rule_engine
P0133,2025-04-30,Vegetative,high,Field conditions stable — continue regular monitoring.,weather_service
P0133,2025-02-03,Vegetative,medium,Field conditions stable — continue regular monitoring.,rule_engine
P0133,2025-06-29,Peg Formation,low,Delay fertilizer until rainfall subsides.,rule_engine
P0133,2025-07-02,Maturity,low,Delay fertilizer until rainfall subsides.,weather_service
P0133,2025-01-23,Seedling,low,Do not irrigate today — soil moisture adequate.,weather_service
P0133,2025-04-05,Flowering,high,Field conditions stable — continue regular monitoring.,rule_engine
P0133,2025-01-07,Flowering,high,Apply light irrigation in evening.,ml_model
P0133,2025-07-17,Peg Formation,low,Monitor for stem borer — scout field edges.,ml_model
P0134,2025-05-07,Peg Formation,low,Field conditions stable — continue regular monitoring.,rule_engine
P0134,2025-02-16,Tillering,medium,Apply light irrigation in evening.,weather_service
P0134,2025-01-28,Tillering,low,Monitor for stem borer — scout field edges.,rule_engine
P0134,2025-02-07,Maturity,high,Do not irrigate today — soil moisture adequate.,rule_engine
P0135,2025-03-27,Panicle Initiation,medium,Monitor for stem borer — scout field edges.,weather_service
P0135,2025-01-18,Germination,high,Field conditions stable — continue regular monitoring.,rule_engine
P0135,2025-07-04,Maturity,low,Do not irrigate today — soil moisture adequate.,weather_service
P0135,2025-01-20,Peg Formation,high,Field conditions stable — continue regular monitoring.,weather_service
P0135,2025-05-29,Tillering,medium,Do not irrigate today — soil moisture adequate.,rule_engine
P0135,2025-06-17,Tillering,high,Delay fertilizer until rainfall subsides.,ml_model
P0135,2025-04-17,Panicle Initiation,high,Apply light irrigation in evening.,weather_service
P0136,2025-02-07,Flowering,high,Delay fertilizer until rainfall subsides.,rule_engine
P0136,2025-06-17,Panicle Initiation,high,Field conditions stable — continue regular monitoring.,rule_engine
P0136,2025-06-01,Flowering,high,Field conditions stable — continue regular monitoring.,weather_service
P0136,2025-02-17,Panicle Initiation,medium,Delay fertilizer until rainfall subsides.,weather_service
P0136,2025-02-11,Flowering,high,Apply light irrigation in evening.,rule_engine
P0136,2025-06-30,Vegetative,medium,Delay fertilizer until rainfall subsides.,weather_service
P0137,2025-01-10,Vegetative,low,Monitor for stem borer — scout field edges.,ml_model
P0137,2025-04-10,Panicle Initiation,low,Do not irrigate today — soil moisture adequate.,rule_engine
P0138,2025-05-16,Flowering,medium,Apply light irrigation in evening.,ml_model
P0138,2025-04-30,Peg Formation,high,Delay fertilizer until rainfall subsides.,ml_model
P0138,2025-03-31,Maturity,medium,Field conditions stable — continue regular monitoring.,weather_service
P0138,2025-05-13,Germination,low,Monitor for stem borer — scout field edges.,ml_model
P0138,2025-05-08,Seedling,medium,Field conditions stable — continue regular monitoring.,weather_service
P0138,2025-05-13,Tillering,medium,Monitor for stem borer — scout field edges.,weather_service
P0139,2025-01-17,Vegetative,low,Delay fertilizer until rainfall subsides.,ml_model
P0139,2025-01-02,Peg Formation,medium,Do not irrigate today — soil moisture adequate.,ml_model
P0139,2025-06-21,Flowering,high,Delay fertilizer until rainfall subsides.,weather_service
P0140,2025-01-01,Vegetative,medium,Apply light irrigation in evening.,weather_service
P0140,2025-03-18,Germination,high,Do not irrigate today — soil moisture adequate.,ml_model
P0141,2025-02-27,Germination,low,Apply light irrigation in evening.,ml_model
P0141,2025-06-06,Peg Formation,high,Field conditions stable — continue regular monitoring.,ml_model
P0141,2025-06-21,Germination,high,Apply light irrigation in evening.,weather_service
P0141,2025-03-31,Flowering,high,Apply light irrigation in evening.,rule_engine
P0141,2025-05-10,Flowering,low,Do not irrigate today — soil moisture adequate.,rule_engine
P0141,2025-01-01,Flowering,medium,Monitor for stem borer — scout field edges.,weather_service
P0142,2025-05-09,Seedling,low,Delay fertilizer until rainfall subsides.,rule_engine
P0142,2025-01-13,Germination,low,Apply light irrigation in evening.,ml_model
P0142,2025-02-09,Flowering,low,Field conditions stable — continue regular monitoring.,ml_model
P0142,2025-03-29,Germination,medium,Field conditions stable — continue regular monitoring.,ml_model
P0142,2025-05-16,Germination,high,Delay fertilizer until rainfall subsides.,rule_engine
P0142,2025-07-03,Panicle Initiation,high,Field conditions stable — continue regular monitoring.,rule_engine
P0142,2025-02-13,Tillering,high,Delay fertilizer until rainfall subsides.,ml_model
P0142,2025-07-15,Flowering,high,Monitor for stem borer — scout field edges.,rule_engine
P0143,2025-02-11,Vegetative,low,Apply light irrigation in evening.,weather_service
P0143,2025-07-07,Maturity,medium,Monitor for stem borer — scout field edges.,weather_service
P0143,2025-02-04,Seedling,medium,Do not irrigate today — soil moisture adequate.,ml_model
P0144,2025-04-29,Flowering,high,Monitor for stem borer — scout field edges.,rule_engine
P0144,2025-06-15,Maturity,medium,Delay fertilizer until rainfall subsides.,weather_service
P0145,2025-02-14,Germination,medium,Delay fertilizer until rainfall subsides.,ml_model
P0145,2025-01-21,Seedling,low,Do not irrigate today — soil moisture adequate.,ml_model
P0146,2025-07-18,Panicle Initiation,medium,Apply light irrigation in evening.,weather_service
P0146,2025-04-10,Vegetative,medium,Delay fertilizer until rainfall subsides.,weather_service
P0146,2025-03-22,Maturity,low,Do not irrigate today — soil moisture adequate.,weather_service
P0146,2025-03-30,Seedling,low,Apply light irrigation in evening.,rule_engine
P0146,2025-03-13,Flowering,low,Field conditions stable — continue regular monitoring.,rule_engine
P0147,2025-01-23,Peg Formation,low,Delay fertilizer until rainfall subsides.,weather_service
P0147,2025-02-13,Flowering,high,Monitor for stem borer — scout field edges.,ml_model
P0147,2025-05-06,Maturity,high,Monitor for stem borer — scout field edges.,weather_service
P0147,2025-07-07,Flowering,medium,Field conditions stable — continue regular monitoring.,weather_service
P0147,2025-05-31,Flowering,high,Do not irrigate today — soil moisture adequate.,ml_model
P0147,2025-01-17,Seedling,high,Monitor for stem borer — scout field edges.,weather_service
P0148,2025-01-08,Panicle Initiation,high,Apply light irrigation in evening.,weather_service
P0148,2025-04-06,Flowering,medium,Apply light irrigation in evening.,weather_service
P0148,2025-06-04,Flowering,low,Delay fertilizer until rainfall subsides.,ml_model
P0148,2025-03-12,Flowering,high,Delay fertilizer until rainfall subsides.,weather_service
P0148,2025-07-17,Germination,medium,Do not irrigate today — soil moisture adequate.,ml_model
P0148,2025-07-16,Tillering,medium,Delay fertilizer until rainfall subsides.,weather_service
P0148,2025-02-01,Vegetative,high,Do not irrigate today — soil moisture adequate.,rule_engine
P0149,2025-03-27,Vegetative,low,Delay fertilizer until rainfall subsides.,weather_service
P0149,2025-07-13,Maturity,low,Do not irrigate today — soil moisture adequate.,weather_service
P0149,2025-01-28,Vegetative,low,Monitor for stem borer — scout field edges.,ml_model
P0149,2025-01-17,Tillering,low,Field conditions stable — continue regular monitoring.,ml_model
P0149,2025-02-10,Peg Formation,high,Delay fertilizer until rainfall subsides.,weather_service
P0149,2025-02-25,Peg Formation,medium,Apply light irrigation in evening.,ml_model
P0149,2025-05-23,Maturity,low,Delay fertilizer until rainfall subsides.,rule_engine
P0150,2025-01-14,Seedling,low,Monitor for stem borer — scout field edges.,ml_model
P0150,2025-04-26,Seedling,low,Do not irrigate today — soil moisture adequate.,ml_model
P0151,2025-02-10,Tillering,high,Delay fertilizer until rainfall subsides.,ml_model
P0151,2025-02-27,Flowering,high,Monitor for stem borer — scout field edges.,ml_model
P0151,2025-02-10,Maturity,medium,Delay fertilizer until rainfall subsides.,rule_engine
P0152,2025-04-14,Flowering,high,Field conditions stable — continue regular monitoring.,rule_engine
P0152,2025-07-03,Vegetative,medium,Do not irrigate today — soil moisture adequate.,weather_service
P0152,2025-06-09,Germination,low,Apply light irrigation in evening.,rule_engine
P0152,2025-05-06,Flowering,low,Delay fertilizer until rainfall subsides.,weather_service
P0152,2025-01-06,Germination,high,Monitor for stem borer — scout field edges.,rule_engine
P0152,2025-05-05,Vegetative,medium,Apply light irrigation in evening.,ml_model
P0152,2025-02-04,Peg Formation,medium,Apply light irrigation in evening.,rule_engine
P0152,2025-07-06,Maturity,high,Delay fertilizer until rainfall subsides.,ml_model
P0153,2025-05-26,Maturity,medium,Field conditions stable — continue regular monitoring.,ml_model
P0153,2025-01-22,Maturity,medium,Field conditions stable — continue regular monitoring.,weather_service
P0154,2025-05-10,Flowering,low,Apply light irrigation in evening.,weather_service
P0154,2025-06-12,Flowering,low,Field conditions stable — continue regular monitoring.,rule_engine
P0154,2025-01-26,Peg Formation,high,Apply light irrigation in evening.,weather_service
P0154,2025-03-24,Tillering,low,Delay fertilizer until rainfall subsides.,weather_service
P0155,2025-06-07,Panicle Initiation,low,Delay fertilizer until rainfall subsides.,weather_service
P0155,2025-01-22,Flowering,medium,Delay fertilizer until rainfall subsides.,ml_model
P0155,2025-04-03,Tillering,medium,Do not irrigate today — soil moisture adequate.,rule_engine
P0155,2025-06-04,Tillering,medium,Delay fertilizer until rainfall subsides.,ml_model
P0155,2025-01-30,Tillering,low,Delay fertilizer until rainfall subsides.,weather_service
P0155,2025-03-01,Flowering,high,Apply light irrigation in evening.,weather_service
P0155,2025-07-18,Maturity,medium,Delay fertilizer until rainfall subsides.,ml_model
P0156,2025-06-16,Maturity,high,Do not irrigate today — soil moisture adequate.,ml_model
P0156,2025-04-16,Panicle Initiation,high,Monitor for stem borer — scout field edges.,ml_model
P0156,2025-05-16,Maturity,medium,Apply light irrigation in evening.,weather_service
P0156,2025-04-02,Seedling,high,Delay fertilizer until rainfall subsides.,weather_service
P0156,2025-03-29,Germination,low,Field conditions stable — continue regular monitoring.,ml_model
P0156,2025-01-25,Peg Formation,low,Monitor for stem borer — scout field edges.,rule_engine
P0156,2025-06-02,Panicle Initiation,high,Delay fertilizer until rainfall subsides.,ml_model
P0156,2025-06-08,Seedling,high,Monitor for stem borer — scout field edges.,rule_engine
P0157,2025-05-02,Seedling,medium,Monitor for stem borer — scout field edges.,rule_engine
P0157,2025-02-06,Peg Formation,low,Monitor for stem borer — scout field edges.,ml_model
P0157,2025-06-04,Maturity,high,Delay fertilizer until rainfall subsides.,rule_engine
P0157,2025-07-12,Germination,low,Apply light irrigation in evening.,rule_engine
P0158,2025-02-13,Seedling,low,Field conditions stable — continue regular monitoring.,ml_model
P0158,2025-05-22,Maturity,low,Apply light irrigation in evening.,rule_engine
P0158,2025-07-16,Maturity,low,Field conditions stable — continue regular monitoring.,weather_service
P0158,2025-05-13,Flowering,low,Field conditions stable — continue regular monitoring.,weather_service
P0158,2025-05-04,Germination,low,Apply light irrigation in evening.,weather_service
P0159,2025-06-01,Maturity,low,Delay fertilizer until rainfall subsides.,ml_model
P0159,2025-04-05,Panicle Initiation,low,Monitor for stem borer — scout field edges.,weather_service
P0159,2025-06-07,Panicle Initiation,medium,Apply light irrigation in evening.,weather_service
P0159,2025-03-05,Flowering,high,Do not irrigate today — soil moisture adequate.,weather_service
P0159,2025-07-03,Seedling,medium,Field conditions stable — continue regular monitoring.,rule_engine
P0159,2025-01-11,Vegetative,low,Do not irrigate today — soil moisture adequate.,rule_engine
P0159,2025-01-01,Maturity,medium,Apply light irrigation in evening.,weather_service
P0160,2025-03-30,Panicle Initiation,high,Monitor for stem borer — scout field edges.,rule_engine
P0160,2025-05-01,Maturity,high,Field conditions stable — continue regular monitoring.,ml_model
P0160,2025-01-19,Panicle Initiation,medium,Delay fertilizer until rainfall subsides.,rule_engine
P0160,2025-07-08,Seedling,low,Field conditions stable — continue regular monitoring.,rule_engine
P0160,2025-03-16,Maturity,low,Monitor for stem borer — scout field edges.,rule_engine
P0161,2025-02-14,Vegetative,low,Do not irrigate today — soil moisture adequate.,ml_model
P0161,2025-07-08,Vegetative,high,Field conditions stable — continue regular monitoring.,ml_model
P0161,2025-03-15,Seedling,high,Field conditions stable — continue regular monitoring.,weather_service
P0161,2025-03-12,Seedling,high,Apply light irrigation in evening.,rule_engine
P0162,2025-03-19,Maturity,low,Monitor for stem borer — scout field edges.,rule_engine
P0162,2025-04-29,Flowering,high,Monitor for stem borer — scout field edges.,weather_service
P0162,2025-03-20,Peg Formation,medium,Field conditions stable — continue regular monitoring.,weather_service
P0162,2025-03-21,Vegetative,low,Monitor for stem borer — scout field edges.,ml_model
P0162,2025-04-25,Germination,high,Monitor for stem borer — scout field edges.,rule_engine
P0162,2025-07-06,Flowering,low,Apply light irrigation in evening.,rule_engine
P0162,2025-03-30,Maturity,medium,Delay fertilizer until rainfall subsides.,rule_engine
P0162,2025-03-02,Maturity,high,Monitor for stem borer — scout field edges.,weather_service
P0163,2025-07-05,Flowering,high,Delay fertilizer until rainfall subsides.,ml_model
P0163,2025-01-25,Germination,medium,Monitor for stem borer — scout field edges.,rule_engine
P0163,2025-06-15,Tillering,medium,Field conditions stable — continue regular monitoring.,rule_engine
P0163,2025-07-05,Flowering,high,Do not irrigate today — soil moisture adequate.,ml_model
P0163,2025-02-22,Seedling,high,Delay fertilizer until rainfall subsides.,rule_engine
P0163,2025-06-12,Maturity,low,Field conditions stable — continue regular monitoring.,rule_engine
P0164,2025-05-16,Maturity,high,Do not irrigate today — soil moisture adequate.,rule_engine
P0164,2025-04-30,Vegetative,low,Delay fertilizer until rainfall subsides.,rule_engine
P0164,2025-05-11,Vegetative,medium,Apply light irrigation in evening.,rule_engine
P0165,2025-06-10,Maturity,low,Field conditions stable — continue regular monitoring.,weather_service
P0165,2025-05-02,Flowering,high,Apply light irrigation in evening.,ml_model
P0165,2025-06-29,Panicle Initiation,low,Monitor for stem borer — scout field edges.,weather_service
P0165,2025-03-21,Flowering,medium,Apply light irrigation in evening.,rule_engine
P0165,2025-03-26,Flowering,high,Apply light irrigation in evening.,rule_engine
P0165,2025-01-20,Flowering,medium,Monitor for stem borer — scout field edges.,weather_service
P0166,2025-05-11,Germination,high,Do not irrigate today — soil moisture adequate.,weather_service
P0166,2025-04-25,Tillering,high,Apply light irrigation in evening.,ml_model
P0166,2025-04-28,Tillering,medium,Do not irrigate today — soil moisture adequate.,rule_engine
P0167,2025-05-01,Peg Formation,low,Field conditions stable — continue regular monitoring.,ml_model
P0167,2025-03-04,Tillering,medium,Field conditions stable — continue regular monitoring.,ml_model
P0167,2025-07-12,Panicle Initiation,medium,Field conditions stable — continue regular monitoring.,rule_engine
P0167,2025-04-28,Maturity,low,Delay fertilizer until rainfall subsides.,ml_model
P0167,2025-06-03,Flowering,high,Apply light irrigation in evening.,rule_engine
P0167,2025-06-17,Peg Formation,high,Do not irrigate today — soil moisture adequate.,weather_service
P0168,2025-05-22,Vegetative,high,Do not irrigate today — soil moisture adequate.,weather_service
P0168,2025-04-14,Tillering,low,Delay fertilizer until rainfall subsides.,weather_service
P0168,2025-03-13,Panicle Initiation,medium,Apply light irrigation in evening.,rule_engine
P0169,2025-03-06,Maturity,high,Field conditions stable — continue regular monitoring.,ml_model
P0169,2025-01-03,Flowering,low,Delay fertilizer until rainfall subsides.,ml_model
P0170,2025-02-22,Germination,low,Delay fertilizer until rainfall subsides.,ml_model
P0170,2025-01-07,Peg Formation,low,Apply light irrigation in evening.,weather_service
P0170,2025-06-20,Maturity,medium,Delay fertilizer until rainfall subsides.,rule_engine
P0170,2025-05-17,Peg Formation,medium,Delay fertilizer until rainfall subsides.,weather_service
P0170,2025-05-20,Maturity,low,Apply light irrigation in evening.,weather_service
P0171,2025-02-25,Flowering,high,Delay fertilizer until rainfall subsides.,rule_engine
P0171,2025-05-01,Maturity,high,Apply light irrigation in evening.,ml_model
P0171,2025-02-18,Peg Formation,high,Field conditions stable — continue regular monitoring.,ml_model
P0172,2025-03-18,Maturity,high,Delay fertilizer until rainfall subsides.,weather_service
P0172,2025-04-08,Flowering,medium,Field conditions stable — continue regular monitoring.,ml_model
P0172,2025-07-09,Tillering,medium,Field conditions stable — continue regular monitoring.,weather_service
P0172,2025-05-04,Panicle Initiation,medium,Delay fertilizer until rainfall subsides.,rule_engine
P0172,2025-05-11,Maturity,high,Field conditions stable — continue regular monitoring.,weather_service
P0173,2025-04-17,Peg Formation,low,Do not irrigate today — soil moisture adequate.,weather_service
P0173,2025-07-17,Flowering,high,Field conditions stable — continue regular monitoring.,ml_model
P0173,2025-06-13,Maturity,low,Delay fertilizer until rainfall subsides.,weather_service
P0173,2025-02-05,Flowering,medium,Do not irrigate today — soil moisture adequate.,weather_service
P0173,2025-01-14,Seedling,high,Apply light irrigation in evening.,weather_service
P0173,2025-01-07,Maturity,high,Do not irrigate today — soil moisture adequate.,ml_model
P0173,2025-03-25,Maturity,high,Delay fertilizer until rainfall subsides.,rule_engine
P0173,2025-01-21,Flowering,medium,Delay fertilizer until rainfall subsides.,weather_service
P0174,2025-03-10,Flowering,high,Field conditions stable — continue regular monitoring.,ml_model
P0174,2025-02-26,Panicle Initiation,high,Apply light irrigation in evening.,rule_engine
P0174,2025-02-07,Maturity,low,Apply light irrigation in evening.,weather_service
P0174,2025-01-02,Vegetative,high,Field conditions stable — continue regular monitoring.,rule_engine
P0175,2025-01-15,Germination,low,Delay fertilizer until rainfall subsides.,ml_model
P0175,2025-04-23,Flowering,high,Do not irrigate today — soil moisture adequate.,weather_service
P0175,2025-01-13,Tillering,medium,Field conditions stable — continue regular monitoring.,rule_engine
P0175,2025-05-11,Maturity,low,Field conditions stable — continue regular monitoring.,rule_engine
P0175,2025-01-03,Tillering,high,Field conditions stable — continue regular monitoring.,rule_engine
P0175,2025-07-09,Peg Formation,low,Field conditions stable — continue regular monitoring.,weather_service
P0176,2025-05-08,Flowering,high,Do not irrigate today — soil moisture adequate.,weather_service
P0176,2025-04-17,Tillering,low,Delay fertilizer until rainfall subsides.,ml_model
P0176,2025-02-06,Maturity,low,Field conditions stable — continue regular monitoring.,rule_engine
P0176,2025-01-13,Vegetative,high,Do not irrigate today — soil moisture adequate.,ml_model
P0176,2025-03-13,Peg Formation,medium,Apply light irrigation in evening.,weather_service
P0176,2025-03-20,Seedling,low,Delay fertilizer until rainfall subsides.,rule_engine
P0176,2025-04-04,Vegetative,medium,Field conditions stable — continue regular monitoring.,ml_model
P0176,2025-03-23,Flowering,medium,Apply light irrigation in evening.,ml_model
P0177,2025-02-09,Tillering,high,Delay fertilizer until rainfall subsides.,ml_model
P0177,2025-05-07,Germination,high,Delay fertilizer until rainfall subsides.,weather_service
P0177,2025-02-16,Flowering,medium,Apply light irrigation in evening.,weather_service
P0177,2025-03-19,Maturity,medium,Do not irrigate today — soil moisture adequate.,weather_service
P0178,2025-03-09,Maturity,low,Field conditions stable — continue regular monitoring.,ml_model
P0178,2025-06-09,Maturity,low,Monitor for stem borer — scout field edges.,rule_engine
P0178,2025-04-27,Seedling,medium,Apply light irrigation in evening.,weather_service
P0179,2025-06-13,Vegetative,medium,Delay fertilizer until rainfall subsides.,weather_service
P0179,2025-05-21,Maturity,low,Monitor for stem borer — scout field edges.,rule_engine
P0179,2025-03-01,Peg Formation,high,Do not irrigate today — soil moisture adequate.,rule_engine
P0179,2025-05-27,Flowering,high,Monitor for stem borer — scout field edges.,rule_engine
P0179,2025-03-28,Maturity,medium,Field conditions stable — continue regular monitoring.,weather_service
P0179,2025-03-06,Maturity,high,Do not irrigate today — soil moisture adequate.,rule_engine
P0180,2025-04-19,Panicle Initiation,low,Monitor for stem borer — scout field edges.,rule_engine
P0180,2025-01-18,Maturity,low,Do not irrigate today — soil moisture adequate.,weather_service
P0180,2025-06-20,Flowering,medium,Do not irrigate today — soil moisture adequate.,weather_service
P0180,2025-03-17,Maturity,high,Field conditions stable — continue regular monitoring.,rule_engine
P0180,2025-06-29,Germination,medium,Monitor for stem borer — scout field edges.,weather_service
P0180,2025-03-26,Maturity,high,Do not irrigate today — soil moisture adequate.,rule_engine
P0180,2025-07-06,Maturity,medium,Field conditions stable — continue regular monitoring.,weather_service
P0180,2025-07-01,Germination,high,Field conditions stable — continue regular monitoring.,ml_model
P0181,2025-05-15,Peg Formation,high,Apply light irrigation in evening.,rule_engine
P0181,2025-06-28,Germination,medium,Monitor for stem borer — scout field edges.,weather_service
P0182,2025-05-06,Flowering,low,Apply light irrigation in evening.,ml_model
P0182,2025-06-22,Tillering,medium,Apply light irrigation in evening.,ml_model
P0182,2025-02-26,Germination,high,Monitor for stem borer — scout field edges.,ml_model
P0182,2025-05-10,Flowering,medium,Do not irrigate today — soil moisture adequate.,ml_model
P0182,2025-01-15,Vegetative,medium,Delay fertilizer until rainfall subsides.,ml_model
P0182,2025-04-23,Flowering,medium,Delay fertilizer until rainfall subsides.,rule_engine
P0182,2025-05-01,Seedling,low,Field conditions stable — continue regular monitoring.,rule_engine
P0183,2025-05-11,Flowering,low,Apply light irrigation in evening.,ml_model
P0183,2025-01-11,Panicle Initiation,high,Do not irrigate today — soil moisture adequate.,weather_service
P0184,2025-05-20,Panicle Initiation,high,Delay fertilizer until rainfall subsides.,weather_service
P0184,2025-05-17,Flowering,high,Apply light irrigation in evening.,ml_model
P0184,2025-05-25,Maturity,high,Do not irrigate today — soil moisture adequate.,ml_model
P0184,2025-03-12,Vegetative,high,Delay fertilizer until rainfall subsides.,weather_service
P0184,2025-02-17,Flowering,medium,Delay fertilizer until rainfall subsides.,ml_model
P0184,2025-04-06,Panicle Initiation,low,Do not irrigate today — soil moisture adequate.,ml_model
P0184,2025-04-25,Tillering,medium,Do not irrigate today — soil moisture adequate.,weather_service
P0185,2025-04-05,Panicle Initiation,low,Do not irrigate today — soil moisture adequate.,rule_engine
P0185,2025-06-04,Vegetative,low,Field conditions stable — continue regular monitoring.,weather_service
P0185,2025-07-11,Panicle Initiation,low,Delay fertilizer until rainfall subsides.,weather_service
P0185,2025-02-06,Panicle Initiation,high,Delay fertilizer until rainfall subsides.,weather_service
P0186,2025-01-13,Flowering,medium,Delay fertilizer until rainfall subsides.,ml_model
P0186,2025-01-25,Seedling,low,Do not irrigate today — soil moisture adequate.,rule_engine
P0186,2025-07-07,Germination,medium,Monitor for stem borer — scout field edges.,ml_model
P0186,2025-05-25,Germination,medium,Apply light irrigation in evening.,rule_engine
P0186,2025-03-01,Maturity,medium,Do not irrigate today — soil moisture adequate.,rule_engine
P0186,2025-05-07,Peg Formation,medium,Field conditions stable — continue regular monitoring.,rule_engine
P0186,2025-01-06,Panicle Initiation,low,Delay fertilizer until rainfall subsides.,rule_engine
P0186,2025-04-28,Vegetative,medium,Delay fertilizer until rainfall subsides.,weather_service
P0187,2025-02-05,Flowering,low,Apply light irrigation in evening.,rule_engine
P0187,2025-06-10,Seedling,low,Apply light irrigation in evening.,rule_engine
P0187,2025-01-27,Flowering,high,Delay fertilizer until rainfall subsides.,ml_model
P0187,2025-02-28,Panicle Initiation,high,Apply light irrigation in evening.,rule_engine
P0187,2025-01-13,Seedling,medium,Monitor for stem borer — scout field edges.,ml_model
P0187,2025-01-21,Germination,high,Do not irrigate today — soil moisture adequate.,ml_model
P0187,2025-04-21,Maturity,medium,Do not irrigate today — soil moisture adequate.,ml_model
P0188,2025-02-09,Tillering,high,Delay fertilizer until rainfall subsides.,rule_engine
P0188,2025-02-25,Flowering,low,Delay fertilizer until rainfall subsides.,rule_engine
P0188,2025-03-16,Flowering,low,Apply light irrigation in evening.,weather_service
P0188,2025-06-08,Panicle Initiation,low,Apply light irrigation in evening.,rule_engine
P0188,2025-01-16,Germination,high,Monitor for stem borer — scout field edges.,ml_model
P0188,2025-03-21,Seedling,high,Field conditions stable — continue regular monitoring.,ml_model
P0188,2025-03-09,Tillering,high,Do not irrigate today — soil moisture adequate.,ml_model
P0188,2025-01-04,Maturity,high,Field conditions stable — continue regular monitoring.,rule_engine
P0189,2025-03-01,Germination,high,Do not irrigate today — soil moisture adequate.,rule_engine
