intent_signature,intent,intent_tamil,crop,crop_tamil,soil_type,soil_tamil,required_entities,response_policy
AGR|IRRIGATION|CROP=millet|SOIL=black,irrigation,நீர் பாசனம்,millet,கம்பு,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=millet|SOIL=alluvial,irrigation,நீர் பாசனம்,millet,கம்பு,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=millet|SOIL=sandy,irrigation,நீர் பாசனம்,millet,கம்பு,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=millet|SOIL=clay,irrigation,நீர் பாசனம்,millet,கம்பு,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=millet|SOIL=loamy,irrigation,நீர் பாசனம்,millet,கம்பு,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=millet|SOIL=laterite,irrigation,நீர் பாசனம்,millet,கம்பு,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=tomato|SOIL=red,irrigation,நீர் பாசனம்,tomato,தக்காளி,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=tomato|SOIL=black,irrigation,நீர் பாசனம்,tomato,தக்காளி,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=tomato|SOIL=alluvial,irrigation,நீர் பாசனம்,tomato,தக்காளி,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=tomato|SOIL=sandy,irrigation,நீர் பாசனம்,tomato,தக்காளி,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=tomato|SOIL=clay,irrigation,நீர் பாசனம்,tomato,தக்காளி,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=tomato|SOIL=loamy,irrigation,நீர் பாசனம்,tomato,தக்காளி,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=tomato|SOIL=laterite,irrigation,நீர் பாசனம்,tomato,தக்காளி,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=chilli|SOIL=red,irrigation,நீர் பாசனம்,chilli,மிளகாய்,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=chilli|SOIL=black,irrigation,நீர் பாசனம்,chilli,மிளகாய்,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=chilli|SOIL=alluvial,irrigation,நீர் பாசனம்,chilli,மிளகாய்,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=chilli|SOIL=sandy,irrigation,நீர் பாசனம்,chilli,மிளகாய்,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=chilli|SOIL=clay,irrigation,நீர் பாசனம்,chilli,மிளகாய்,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=chilli|SOIL=loamy,irrigation,நீர் பாசனம்,chilli,மிளகாய்,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=chilli|SOIL=laterite,irrigation,நீர் பாசனம்,chilli,மிளகாய்,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=onion|SOIL=red,irrigation,நீர் பாசனம்,onion,வெங்காயம்,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=onion|SOIL=black,irrigation,நீர் பாசனம்,onion,வெங்காயம்,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=onion|SOIL=alluvial,irrigation,நீர் பாசனம்,onion,வெங்காயம்,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=onion|SOIL=sandy,irrigation,நீர் பாசனம்,onion,வெங்காயம்,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=onion|SOIL=clay,irrigation,நீர் பாசனம்,onion,வெங்காயம்,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=onion|SOIL=loamy,irrigation,நீர் பாசனம்,onion,வெங்காயம்,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=onion|SOIL=laterite,irrigation,நீர் பாசனம்,onion,வெங்காயம்,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=turmeric|SOIL=red,irrigation,நீர் பாசனம்,turmeric,மஞ்சள்,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=turmeric|SOIL=black,irrigation,நீர் பாசனம்,turmeric,மஞ்சள்,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=turmeric|SOIL=alluvial,irrigation,நீர் பாசனம்,turmeric,மஞ்சள்,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=turmeric|SOIL=sandy,irrigation,நீர் பாசனம்,turmeric,மஞ்சள்,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=turmeric|SOIL=clay,irrigation,நீர் பாசனம்,turmeric,மஞ்சள்,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=turmeric|SOIL=loamy,irrigation,நீர் பாசனம்,turmeric,மஞ்சள்,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=turmeric|SOIL=laterite,irrigation,நீர் பாசனம்,turmeric,மஞ்சள்,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=brinjal|SOIL=red,irrigation,நீர் பாசனம்,brinjal,கத்தரிக்காய்,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=brinjal|SOIL=black,irrigation,நீர் பாசனம்,brinjal,கத்தரிக்காய்,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=brinjal|SOIL=alluvial,irrigation,நீர் பாசனம்,brinjal,கத்தரிக்காய்,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=brinjal|SOIL=sandy,irrigation,நீர் பாசனம்,brinjal,கத்தரிக்காய்,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=brinjal|SOIL=clay,irrigation,நீர் பாசனம்,brinjal,கத்தரிக்காய்,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=brinjal|SOIL=loamy,irrigation,நீர் பாசனம்,brinjal,கத்தரிக்காய்,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=brinjal|SOIL=laterite,irrigation,நீர் பாசனம்,brinjal,கத்தரிக்காய்,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=okra|SOIL=red,irrigation,நீர் பாசனம்,okra,வெண்டைக்காய்,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=okra|SOIL=black,irrigation,நீர் பாசனம்,okra,வெண்டைக்காய்,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=okra|SOIL=alluvial,irrigation,நீர் பாசனம்,okra,வெண்டைக்காய்,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=okra|SOIL=sandy,irrigation,நீர் பாசனம்,okra,வெண்டைக்காய்,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=okra|SOIL=clay,irrigation,நீர் பாசனம்,okra,வெண்டைக்காய்,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=okra|SOIL=loamy,irrigation,நீர் பாசனம்,okra,வெண்டைக்காய்,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=okra|SOIL=laterite,irrigation,நீர் பாசனம்,okra,வெண்டைக்காய்,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=coconut|SOIL=red,irrigation,நீர் பாசனம்,coconut,தென்னை,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=coconut|SOIL=black,irrigation,நீர் பாசனம்,coconut,தென்னை,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=coconut|SOIL=alluvial,irrigation,நீர் பாசனம்,coconut,தென்னை,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=coconut|SOIL=sandy,irrigation,நீர் பாசனம்,coconut,தென்னை,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=coconut|SOIL=clay,irrigation,நீர் பாசனம்,coconut,தென்னை,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=coconut|SOIL=loamy,irrigation,நீர் பாசனம்,coconut,தென்னை,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=coconut|SOIL=laterite,irrigation,நீர் பாசனம்,coconut,தென்னை,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=pulses|SOIL=red,irrigation,நீர் பாசனம்,pulses,பயறு,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=pulses|SOIL=black,irrigation,நீர் பாசனம்,pulses,பயறு,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=pulses|SOIL=alluvial,irrigation,நீர் பாசனம்,pulses,பயறு,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=pulses|SOIL=sandy,irrigation,நீர் பாசனம்,pulses,பயறு,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=pulses|SOIL=clay,irrigation,நீர் பாசனம்,pulses,பயறு,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=pulses|SOIL=loamy,irrigation,நீர் பாசனம்,pulses,பயறு,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=pulses|SOIL=laterite,irrigation,நீர் பாசனம்,pulses,பயறு,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=sesame|SOIL=red,irrigation,நீர் பாசனம்,sesame,எள்,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=sesame|SOIL=black,irrigation,நீர் பாசனம்,sesame,எள்,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=sesame|SOIL=alluvial,irrigation,நீர் பாசனம்,sesame,எள்,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=sesame|SOIL=sandy,irrigation,நீர் பாசனம்,sesame,எள்,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=sesame|SOIL=clay,irrigation,நீர் பாசனம்,sesame,எள்,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=sesame|SOIL=loamy,irrigation,நீர் பாசனம்,sesame,எள்,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=sesame|SOIL=laterite,irrigation,நீர் பாசனம்,sesame,எள்,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=tapioca|SOIL=red,irrigation,நீர் பாசனம்,tapioca,மரவள்ளி,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=tapioca|SOIL=black,irrigation,நீர் பாசனம்,tapioca,மரவள்ளி,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=tapioca|SOIL=alluvial,irrigation,நீர் பாசனம்,tapioca,மரவள்ளி,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=tapioca|SOIL=sandy,irrigation,நீர் பாசனம்,tapioca,மரவள்ளி,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=tapioca|SOIL=clay,irrigation,நீர் பாசனம்,tapioca,மரவள்ளி,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=tapioca|SOIL=loamy,irrigation,நீர் பாசனம்,tapioca,மரவள்ளி,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=tapioca|SOIL=laterite,irrigation,நீர் பாசனம்,tapioca,மரவள்ளி,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=drumstick|SOIL=red,irrigation,நீர் பாசனம்,drumstick,முருங்கை,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=drumstick|SOIL=black,irrigation,நீர் பாசனம்,drumstick,முருங்கை,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=drumstick|SOIL=alluvial,irrigation,நீர் பாசனம்,drumstick,முருங்கை,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=drumstick|SOIL=sandy,irrigation,நீர் பாசனம்,drumstick,முருங்கை,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=drumstick|SOIL=clay,irrigation,நீர் பாசனம்,drumstick,முருங்கை,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=drumstick|SOIL=loamy,irrigation,நீர் பாசனம்,drumstick,முருங்கை,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|IRRIGATION|CROP=drumstick|SOIL=laterite,irrigation,நீர் பாசனம்,drumstick,முருங்கை,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|PEST|CROP=rice|SOIL=red,pest,பூச்சி மேலாண்மை,rice,நெல்,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|PEST|CROP=rice|SOIL=black,pest,பூச்சி மேலாண்மை,rice,நெல்,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|PEST|CROP=rice|SOIL=alluvial,pest,பூச்சி மேலாண்மை,rice,நெல்,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|PEST|CROP=rice|SOIL=sandy,pest,பூச்சி மேலாண்மை,rice,நெல்,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|PEST|CROP=rice|SOIL=clay,pest,பூச்சி மேலாண்மை,rice,நெல்,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|PEST|CROP=rice|SOIL=loamy,pest,பூச்சி மேலாண்மை,rice,நெல்,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|PEST|CROP=rice|SOIL=laterite,pest,பூச்சி மேலாண்மை,rice,நெல்,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|PEST|CROP=banana|SOIL=red,pest,பூச்சி மேலாண்மை,banana,வாழை,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|PEST|CROP=banana|SOIL=black,pest,பூச்சி மேலாண்மை,banana,வாழை,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|PEST|CROP=banana|SOIL=alluvial,pest,பூச்சி மேலாண்மை,banana,வாழை,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|PEST|CROP=banana|SOIL=sandy,pest,பூச்சி மேலாண்மை,banana,வாழை,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|PEST|CROP=banana|SOIL=clay,pest,பூச்சி மேலாண்மை,banana,வாழை,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|PEST|CROP=banana|SOIL=loamy,pest,பூச்சி மேலாண்மை,banana,வாழை,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|PEST|CROP=banana|SOIL=laterite,pest,பூச்சி மேலாண்மை,banana,வாழை,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|PEST|CROP=sugarcane|SOIL=red,pest,பூச்சி மேலாண்மை,sugarcane,கரும்பு,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|PEST|CROP=sugarcane|SOIL=black,pest,பூச்சி மேலாண்மை,sugarcane,கரும்பு,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|PEST|CROP=sugarcane|SOIL=alluvial,pest,பூச்சி மேலாண்மை,sugarcane,கரும்பு,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|PEST|CROP=sugarcane|SOIL=sandy,pest,பூச்சி மேலாண்மை,sugarcane,கரும்பு,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|PEST|CROP=sugarcane|SOIL=clay,pest,பூச்சி மேலாண்மை,sugarcane,கரும்பு,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|PEST|CROP=sugarcane|SOIL=loamy,pest,பூச்சி மேலாண்மை,sugarcane,கரும்பு,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|PEST|CROP=sugarcane|SOIL=laterite,pest,பூச்சி மேலாண்மை,sugarcane,கரும்பு,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|PEST|CROP=cotton|SOIL=red,pest,பூச்சி மேலாண்மை,cotton,பருத்தி,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|PEST|CROP=cotton|SOIL=black,pest,பூச்சி மேலாண்மை,cotton,பருத்தி,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|PEST|CROP=cotton|SOIL=alluvial,pest,பூச்சி மேலாண்மை,cotton,பருத்தி,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|PEST|CROP=cotton|SOIL=sandy,pest,பூச்சி மேலாண்மை,cotton,பருத்தி,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|PEST|CROP=cotton|SOIL=clay,pest,பூச்சி மேலாண்மை,cotton,பருத்தி,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|PEST|CROP=cotton|SOIL=loamy,pest,பூச்சி மேலாண்மை,cotton,பருத்தி,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|PEST|CROP=cotton|SOIL=laterite,pest,பூச்சி மேலாண்மை,cotton,பருத்தி,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|PEST|CROP=groundnut|SOIL=red,pest,பூச்சி மேலாண்மை,groundnut,நிலக்கடலை,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|PEST|CROP=groundnut|SOIL=black,pest,பூச்சி மேலாண்மை,groundnut,நிலக்கடலை,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|PEST|CROP=groundnut|SOIL=alluvial,pest,பூச்சி மேலாண்மை,groundnut,நிலக்கடலை,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|PEST|CROP=groundnut|SOIL=sandy,pest,பூச்சி மேலாண்மை,groundnut,நிலக்கடலை,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|PEST|CROP=groundnut|SOIL=clay,pest,பூச்சி மேலாண்மை,groundnut,நிலக்கடலை,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|PEST|CROP=groundnut|SOIL=loamy,pest,பூச்சி மேலாண்மை,groundnut,நிலக்கடலை,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|PEST|CROP=groundnut|SOIL=laterite,pest,பூச்சி மேலாண்மை,groundnut,நிலக்கடலை,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|PEST|CROP=maize|SOIL=red,pest,பூச்சி மேலாண்மை,maize,மக்காச்சோளம்,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|PEST|CROP=maize|SOIL=black,pest,பூச்சி மேலாண்மை,maize,மக்காச்சோளம்,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|PEST|CROP=maize|SOIL=alluvial,pest,பூச்சி மேலாண்மை,maize,மக்காச்சோளம்,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|PEST|CROP=maize|SOIL=sandy,pest,பூச்சி மேலாண்மை,maize,மக்காச்சோளம்,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|PEST|CROP=maize|SOIL=clay,pest,பூச்சி மேலாண்மை,maize,மக்காச்சோளம்,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|PEST|CROP=maize|SOIL=loamy,pest,பூச்சி மேலாண்மை,maize,மக்காச்சோளம்,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|PEST|CROP=maize|SOIL=laterite,pest,பூச்சி மேலாண்மை,maize,மக்காச்சோளம்,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|PEST|CROP=millet|SOIL=red,pest,பூச்சி மேலாண்மை,millet,கம்பு,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|PEST|CROP=millet|SOIL=black,pest,பூச்சி மேலாண்மை,millet,கம்பு,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|PEST|CROP=millet|SOIL=alluvial,pest,பூச்சி மேலாண்மை,millet,கம்பு,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
