english,tamil
"advised to apply recommended fertilizer dose like:urea@23 kilogram/bigha,ssp@50kilogram/bigha,mop@11 kilogram/bigha,compost@2 quintle/bigha,and borax@25 gram",பரிந்துரைக்கப்பட்ட உரத்தின் அளவைப் பயன்படுத்த அறிவுறுத்தப்படுகிறது
asking the preventive measure against late blight disease of potato.,உருளைக்கிழங்கின் தாமதமான ப்ளைட் நோய்க்கு எதிரான தடுப்பு நடவடிக்கையைக் கேட்கிறது.
advised to spray indofil m 45  @ 2.5 gram per lire of water at an interval of 7 days to get rid off this disease.,இந்நோயில் இருந்து விடுபட 7 நாட்கள் இடைவெளியில் ஒரு லிட்டர் தண்ணீருக்கு இன்டோஃபில் எம் 45 @ 2.5 கிராம் தெளிக்க அறிவுறுத்தப்படுகிறது.
asking about the control measure of rotting becaouse of excess irrigation,அதிகப்படியான நீர்ப்பாசனம் காரணமாக அழுகும் கட்டுப்பாட்டு நடவடிக்கை பற்றி கேட்கிறது
suggested to apply blitox @ 2gm per lit of water followed by a spray of borax and molibdenum,பிளிடாக்ஸ் @ 2 கிராம் ஒரு லிட்டர் தண்ணீருக்குப் பிறகு போராக்ஸ் மற்றும் மாலிப்டினம் தெளிக்க பரிந்துரைக்கப்படுகிறது.
asking about the control measure to control late blight disease of potato,உருளைக்கிழங்கின் தாமதமான ப்ளைட் நோயைக் கட்டுப்படுத்துவதற்கான கட்டுப்பாட்டு நடவடிக்கை பற்றி கேட்டறிந்தார்
advised  to apply dithane m-45@2.5 gram/litre of water alternating with ridomil mz-72@2gram/liter of water at 7-10 days interval.,டித்தேன் m-45@2.5 கிராம்/லிட்டர் தண்ணீருடன் ரிடோமில் mz-72@2கிராம்/லிட்டர் தண்ணீருடன் 7-10 நாட்கள் இடைவெளியில் பயன்படுத்த அறிவுறுத்தப்படுகிறது.
asking for the control measure against leaf blight of coconut tree which is affecting his 5 numbers of coconut trees.,தனது 5 எண்ணிக்கையிலான தென்னை மரங்களை பாதிக்கும் தென்னை மரத்தின் இலை கருகல் நோயை கட்டுப்படுத்த நடவடிக்கை எடுக்குமாறு கேட்டுக் கொண்டார்.
suggested to spray bordeaux mixture @ 1% per plant and to remove the old and affected leaves.,"ஒரு செடிக்கு 1% போர்டாக்ஸ் கலவையை தெளிக்கவும், பழைய மற்றும் பாதிக்கப்பட்ட இலைகளை அகற்றவும் பரிந்துரைக்கப்படுகிறது."
asking about some recommended planting materials of tea,தேயிலையின் பரிந்துரைக்கப்பட்ட சில நடவுப் பொருட்களைப் பற்றி கேட்டறிந்தார்
"advised to plant recommended planting materials like:(a)clone-tv1,tv18,tv20,tv21,tv22,tv23,tv24,pl26a and (b)seed-ts450,ts462,ts464,betajan jat.","பரிந்துரைக்கப்பட்ட நடவுப் பொருட்களை நடவு செய்ய அறிவுறுத்தப்பட்டது:(a)clone-tv1,tv18,tv20,tv21,tv22,tv23,tv24,pl26a மற்றும் (b)seed-ts450,ts462,ts464,betajan jat."
asking the control measure of bacterial wilt in his potato cultivation.,அவரது உருளைக்கிழங்கு சாகுபடியில் பாக்டீரியா வாடுவதைக் கட்டுப்படுத்தும் அளவைக் கேட்டார்.
"suggested to apply streptomycin @ 1 gram per litre of water and to drench the soil around the plant with 1 gram of asafoetida along with 5 gram of turmeric powder by mixing in 10 litres of water.also advised that whenever he goes for his next cultivation of potato, to apply 12 gram of bleaching powder per hectare during final land preparation.","ஒரு லிட்டர் தண்ணீருக்கு ஸ்ட்ரெப்டோமைசின் @ 1 கிராம் மற்றும் செடியைச் சுற்றியுள்ள மண்ணில் 1 கிராம் சாதத்துடன் 5 கிராம் மஞ்சள் தூள் சேர்த்து 10 லிட்டர் தண்ணீரில் கலந்து நனைக்க பரிந்துரைக்கப்படுகிறது. மேலும் அவர் தனது அடுத்த சாகுபடிக்கு செல்லும் போதெல்லாம், 12 கிராம் பிளீச்சிங் பவுடரை நிலத்திற்குத் தயாரிக்கவும் அறிவுறுத்தினார்."
asking about the control measure to control late blight disease infestation in potato cultivation.,உருளைக்கிழங்கு சாகுபடியில் தாமதமான ப்ளைட் நோய்த் தாக்குதலைக் கட்டுப்படுத்துவதற்கான கட்டுப்பாட்டு நடவடிக்கை குறித்து கேட்டறிந்தார்.
suggested to apply dithane m-45@2.5 gram/liter of water alternating with ridomil mz-72@2gram/liter of water at 7-10 days interval,டித்தேன் m-45@2.5 கிராம்/லிட்டர் தண்ணீரை ரிடோமில் mz-72@2 கிராம்/லிட்டர் தண்ணீருடன் 7-10 நாட்கள் இடைவெளியில் பயன்படுத்த பரிந்துரைக்கப்படுகிறது.
asking about treatment of babesiosis of cow.,பசுவின் பேபிசியாசிஸ் சிகிச்சை பற்றி கேட்டேன்.
"suggested to administer berenil inj @1.6gram per 100kg body weight in 5ml distilled water  per 0.8gram of granule,by deep intramuscular route.repeat the dose after 1week.",0.8 கிராம் கிரானுலுக்கு 5 மிலி காய்ச்சி வடிகட்டிய நீரில் 100 கிலோ உடல் எடையில் பெரெனில் இன்ஜ் @1.6 கிராம் ஆழமான தசைநார் வழியின் மூலம் பரிந்துரைக்கப்படுகிறது. 1 வாரத்திற்குப் பிறகு அளவை மீண்டும் செய்யவும்.
asking about the method to ripen the tomato fruit before normal harvest,சாதாரண அறுவடைக்கு முன் தக்காளி பழத்தை பழுக்க வைக்கும் முறை பற்றி கேட்டறிந்தார்
suggested to spray ethrel@500 ppm on the fruit about one month before normal harvest,சாதாரண அறுவடைக்கு ஒரு மாதத்திற்கு முன்பு எத்ரல்@500 பிபிஎம் மருந்தை பழத்தின் மீது தெளிக்க பரிந்துரைக்கப்படுகிறது
asking the control measure against aphids and epilachna beetle which are destroying his potato cultivation.,அவரது உருளைக்கிழங்கு சாகுபடியை அழிக்கும் அசுவினி மற்றும் எபிலாக்னா வண்டுகளுக்கு எதிரான கட்டுப்பாட்டு நடவடிக்கையை கேட்டுள்ளார்.
suggested to apply malathion 50 ec @ 1.5 litre in 500-600 litres of water to get control on these types of pests.,இந்த வகையான பூச்சிகளைக் கட்டுப்படுத்த 500-600 லிட்டர் தண்ணீரில் மாலத்தியான் 50 இசி @ 1.5 லிட்டர் பயன்படுத்த பரிந்துரைக்கப்படுகிறது.
asking about the fertilizer dose of beeter gourd.,பூசணிக்காயின் உரத்தின் அளவைப் பற்றி கேட்டேன்.
"suggested to apply 11 kg urea, 29 kg ssp, 3kg mop and 2 quintol compost. urea is suggested to apply in 3 splt doses: one at the time of land preperation, 2nd in 30 days and the rest in 60 days.","11 கிலோ யூரியா, 29 கிலோ எஸ்எஸ்பி, 3 கிலோ துடைப்பான் மற்றும் 2 குவிண்டால் உரம் இட வேண்டும். யூரியாவை 3 splt அளவுகளில் பயன்படுத்த பரிந்துரைக்கப்படுகிறது: ஒன்று நிலத்தை தயார் செய்யும் போது, ​​2வது 30 நாட்களில் மற்றும் மீதமுள்ளவை 60 நாட்களில்."
asking about the recommended fertilizer dose of wheat.,கோதுமையின் பரிந்துரைக்கப்பட்ட உரத்தின் அளவைப் பற்றி கேட்கிறது.
"suggested that the recommended fertilizer dose for wheat is-urea@12kilogram/bigha,ssp@18kilogram/bigha,mop@4kilogram/bigha.","கோதுமைக்கு பரிந்துரைக்கப்படும் உர அளவு யூரியா@12கிலோகிராம்/பிக்ஹா,எஸ்எஸ்பி@18கிலோகிராம்/பிக்ஹா,மாப்@4கிலோகிராம்/பிக்ஹா ஆகும்."
asking about the control measure to control fruit rot disease of chilli,மிளகாயில் பழ அழுகும் நோயைக் கட்டுப்படுத்துவதற்கான கட்டுப்பாட்டு நடவடிக்கை குறித்து கேட்டறிந்தார்
suggested to apply bavistin@2gram/liter of water at 7-10 days interval.,7-10 நாட்கள் இடைவெளியில் பாவிஸ்டின்@2 கிராம்/லிட்டர் தண்ணீருக்குப் பயன்படுத்த பரிந்துரைக்கப்படுகிறது.
asking about the control measure to control fruit borer infestation in mango fruit.,மாம்பழத்தில் பழம் துளைப்பான் தாக்குதலைக் கட்டுப்படுத்துவதற்கான கட்டுப்பாட்டு நடவடிக்கை குறித்து கேட்டறிந்தார்.
suggested to spray dimecron 100 ec@2ml/liter of water followed by waiting period of 10-12 days.,டைமெக்ரான் 100 இசி@2மிலி/லிட்டர் தண்ணீருக்கு 10-12 நாட்கள் காத்திருந்து தெளிக்க பரிந்துரைக்கப்படுகிறது.
asking about the recommended fertilizer dose for  bitter gourd.,பாகற்காய்க்கு பரிந்துரைக்கப்பட்ட உரத்தின் அளவைக் கேட்டறிந்தார்.
"suggested to apply urea@11kilogram/bigha,ssp@29 kilogram/bigha,mop@3 kilogram/bigha and fym@2 quintal/bigha.","யூரியா@11கிலோகிராம்/பிக்ஹா,எஸ்எஸ்பி@29கிலோகிராம்/பிக்ஹா,மாப்@3கிலோகிராம்/பிக்ஹா மற்றும் எஃகு @2 குவிண்டால்/பிக்ஹா ஆகியவற்றைப் பயன்படுத்த பரிந்துரைக்கப்படுகிறது."
asking the control measure against late blight of potato.,உருளைக்கிழங்கின் தாமதமான ப்ளைட்டின் கட்டுப்பாட்டு நடவடிக்கையைக் கேட்கிறது.
suggested to spray indofil m 45 @ 2.5 gram per litre of water and ridomil mz 72 @ 2 gram per litre of water alternatively at an interval of 10-12 days. also suggested that while spraying care should be taken so that the lower part of the leaves  also gets wettened.,ஒரு லிட்டர் தண்ணீருக்கு இன்டோஃபில் எம் 45 @ 2.5 கிராம் மற்றும் ரிடோமில் எம்இசட் 72 @ 2 கிராம் ஒரு லிட்டர் தண்ணீருக்கு மாற்றாக 10-12 நாட்கள் இடைவெளியில் தெளிக்க பரிந்துரைக்கப்படுகிறது. தெளிக்கும் போது இலைகளின் கீழ் பகுதியும் நனையும்படி பார்த்துக் கொள்ள வேண்டும் என்றும் பரிந்துரைத்தார்.
asking about the control measure to control fruit drop problem in coconut.,தென்னையில் பழ துளி பிரச்சனையை கட்டுப்படுத்துவதற்கான கட்டுப்பாட்டு நடவடிக்கை குறித்து கேட்டறிந்தார்.
"suggested to apply recommended fertilizer dose like-urea@1,5 kilogram/plant,ssp@2.5 kilogram/plant,mop@1.75 kilogram/plant,borax@25 gram/plant.fertilizer should be applied in two equal split doses twice in a year in trench method.","பரிந்துரைக்கப்பட்ட உர அளவு யூரியா @ 1,5 கிலோ / செடி, எஸ்எஸ்பி @ 2.5 கிலோ / செடி, துடைப்பம் @ 1.75 கிலோ / செடி, போராக்ஸ் @ 25 கிராம் / செடி. உரத்தை இரண்டு சம அளவு பிரித்து ஒரு வருடத்திற்கு இரண்டு முறை அகழி முறையில் இட வேண்டும்."
asking about the control measure to control wilting problem of tomato.,தக்காளி வாடல் பிரச்சனையை கட்டுப்படுத்தும் முறை குறித்து கேட்டறிந்தார்.
suggested to applly agromycin@200 milligram/liter of water or  spray solution of 1gram asafoetida + 5 gram turmeric mixture/10 liters of water.,அக்ரோமைசின்@200 மில்லிகிராம்/லிட்டர் தண்ணீருக்குப் பயன்படுத்தவும் அல்லது 1 கிராம் சாதம் + 5 கிராம் மஞ்சள் கலவை/10 லிட்டர் தண்ணீரில் தெளிக்கவும்.
asking about the control measure to control fruit drop problem of coconut.,தென்னையில் பழ துளி பிரச்சனையை கட்டுப்படுத்துவதற்கான கட்டுப்பாட்டு நடவடிக்கை குறித்து கேட்டறிந்தார்.
"suggested to apply recommended fertilizer dose like-urea@1.5 kilogram/plant,ssp@2.5 kilogram/plant,mop@1.75 kilogram/plant,borax@25 gram/plant and also to apply planofix@1tsf/20 liters of water.fertilizer should be apply in two equal split doses twice in a year to a trench of 30 cm width and 10 cm depth at a radius of 1-1.75m away from the main trunk.","பரிந்துரைக்கப்பட்ட உர அளவு யூரியா @ 1.5 கிலோ / செடி, எஸ்எஸ்பி @ 2.5 கிலோ / செடி, மாப் @ 1.75 கிலோ / செடி, போராக்ஸ் @ 25 கிராம் / செடி மற்றும் பிளானோஃபிக்ஸ் @ 1 டிஎஸ்எஃப் / 20 லிட்டர் தண்ணீரைப் பயன்படுத்த பரிந்துரைக்கப்படுகிறது. உரத்தை இரண்டு சம அளவு பிளவுகளில் இட வேண்டும் பிரதான உடற்பகுதியில் இருந்து 1-1.75மீ தொலைவில் உள்ளது."
asking about the seed rate/bigha of cucumber.,வெள்ளரியின் விதை விகிதம்/பிகா பற்றி கேட்கிறது.
suggested that seed rate of cucumber/bigha is 330 gram.,வெள்ளரிக்காய் / பிகா விதை விகிதம் 330 கிராம் என்று பரிந்துரைக்கப்படுகிறது.
asking about the market price/quintal for  tomato in his district.,அவரது மாவட்டத்தில் தக்காளியின் சந்தை விலை / குவிண்டால் பற்றி கேட்கிறார்.
suggested that the market price for tomato up to 29/01/10 is-600rs/quintal(min) and 800 rs/quintal(max).,29/01/10 வரையிலான தக்காளியின் சந்தை விலை-600ரூ/ குவிண்டால்(நிமிடம்) மற்றும் 800 ரூ/ குவிண்டால்(அதிகபட்சம்) ஆகும்.
asking about the control measure to control late blight disease infestation in potato.,உருளைக்கிழங்கில் தாமதமான ப்ளைட் நோய்த் தாக்குதலைக் கட்டுப்படுத்துவதற்கான கட்டுப்பாட்டு நடவடிக்கை பற்றி கேட்டறிந்தார்.
suggested to apply dithane m-45@2.5 gram/liter of water alternating with ridomil mz-72@2gram/liter of water at 7-10 days interval.,டித்தேன் m-45@2.5 கிராம்/லிட்டர் தண்ணீரில் ரிடோமில் mz-72@2 கிராம்/லிட்டர் தண்ணீருடன் 7-10 நாட்கள் இடைவெளியில் பயன்படுத்த பரிந்துரைக்கப்படுகிறது.
asking about the control measure to control bacterial wilt disease of tomato.,தக்காளியின் பாக்டீரிய வாடல் நோயைக் கட்டுப்படுத்துவதற்கான கட்டுப்பாட்டு நடவடிக்கை குறித்து கேட்டறிந்தார்.
suggested to apply streptomycin sulphate@200mg/liter of water.,ஸ்ட்ரெப்டோமைசின் சல்பேட் @200mg/லிட்டர் தண்ணீருக்குப் பயன்படுத்த பரிந்துரைக்கப்படுகிறது.
asking the control measure against black spot disease in cabbage.,முட்டைக்கோசில் உள்ள கரும்புள்ளி நோயை கட்டுப்படுத்த நடவடிக்கை எடுக்க வேண்டும்.
suggested to spray streptomycin @ 2 gram per litre of water to get control on this disease.,இந்நோயைக் கட்டுப்படுத்த ஸ்ட்ரெப்டோமைசின் ஒரு லிட்டர் தண்ணீருக்கு 2 கிராம் என்ற அளவில் தெளிக்க பரிந்துரைக்கப்படுகிறது.
asking about the measurement required in preparation of vermicompost in tank.,தொட்டியில் மண்புழு உரம் தயாரிக்க தேவையான அளவீடுகள் குறித்து கேட்டறிந்தார்.
"suggested that tanks with dimension of 1.5 meter width,4.5 meter length and 0.9 meter height is preferred.","1.5 மீட்டர் அகலம், 4.5 மீட்டர் நீளம் மற்றும் 0.9 மீட்டர் உயரம் கொண்ட தொட்டிகள் விரும்பத்தக்கது."
asking about treatment of white diarrhoea of poultry.,கோழியின் வெள்ளை வயிற்றுப்போக்கு சிகிச்சை பற்றி கேட்டேன்.
suggested him to separate the diseased bird.suggested him to administer tetracycline powder @5gm with 5ltr of water with feed 2 times in a day.,நோயுற்ற பறவையைப் பிரிக்கும்படி அவருக்குப் பரிந்துரைத்தார். டெட்ராசைக்ளின் பவுடரை @5 கிராம் 5 லிட்டர் தண்ணீருடன் ஒரு நாளைக்கு 2 முறை தீவனத்துடன் கொடுக்குமாறு பரிந்துரைத்தார்.
asking about the control measure to control fruit borer pest infestation in tomato.,தக்காளியில் பழம் துளைப்பான் பூச்சித் தாக்குதலைக் கட்டுப்படுத்துவதற்கான கட்டுப்பாட்டு நடவடிக்கை குறித்து கேட்டறிந்தார்.
"suggested to spray  neem based pesticide like-neem gold,achok@1.5 ml/liter of water.","வேம்பு தங்கம், சோக் @ 1.5 மிலி/லிட்டர் தண்ணீர் போன்ற வேம்பு அடிப்படையிலான பூச்சிக்கொல்லியை தெளிக்க பரிந்துரைக்கப்படுகிறது."
suggested to administer neblon powder @ 50 gm twice daily for five days.along with that administer steclin bolus @ 2 bolus twice daily for five days.,நெப்லான் பவுடரை @ 50 கிராம் தினமும் இரண்டு முறை ஐந்து நாட்களுக்கு நிர்வகிக்க பரிந்துரைக்கப்படுகிறது. அதனுடன் ஸ்டெக்லின் போலஸ் @ 2 போலஸை தினமும் இரண்டு முறை ஐந்து நாட்களுக்கு நிர்வகிக்கவும்.
asking about treatment of wound in a cow.,ஒரு பசுவில் ஏற்பட்ட காயத்தின் சிகிச்சை பற்றி கேட்கிறார்.
suggested to clean the wound with betadine and then spray skin heal spray on the affected area twice daily.,"பீட்டாடைன் கொண்டு காயத்தை சுத்தம் செய்து, தோல் குணப்படுத்தும் ஸ்பிரேயை பாதிக்கப்பட்ட பகுதியில் தினமும் இரண்டு முறை தெளிக்க பரிந்துரைக்கப்படுகிறது."
"asking informations about central institute of post harvest engineering and technology, ludhiana, punjab.","பஞ்சாப், லூதியானா, அறுவடைக்கு பிந்தைய இன்ஜினியரிங் மற்றும் தொழில்நுட்பத்தின் மத்திய நிறுவனம் பற்றிய தகவல்களைக் கேட்கிறது."
"answered that dr. r.t.patil is the director of ciphet, ludiana, punjab and the institute has divisons of agriculture structures and environmental control, food grains and oil seeds processing,transfer of technology and horticulture crop processing. the contact numbers provided are :0161-2308669 & 2307196 along with 09216338421. also advised mr. singha to search google for other informations in details.","என்று பதிலளித்தார் டாக்டர். r.t.patil சிபெட், லுடியானா, பஞ்சாப் ஆகியவற்றின் இயக்குநராக உள்ளார், மேலும் இந்த நிறுவனம் விவசாய கட்டமைப்புகள் மற்றும் சுற்றுச்சூழல் கட்டுப்பாடு, உணவு தானியங்கள் மற்றும் எண்ணெய் விதைகள் செயலாக்கம், தொழில்நுட்ப பரிமாற்றம் மற்றும் தோட்டக்கலை பயிர் செயலாக்கம் ஆகியவற்றின் பிரிவுகளைக் கொண்டுள்ளது. வழங்கப்பட்ட தொடர்பு எண்கள் :0161-2308669 & 2307196 உடன் 09216338421. மேலும் திரு. சிங்கா கூகுளில் மற்ற தகவல்களை விவரங்களில் தேடலாம்."
suggested him to administer hostacycline powder @5gm in 5 ltr of water.,5 லிட்டர் தண்ணீரில் 5 கிராம் ஹோஸ்டாசைக்ளின் பவுடரை வழங்குமாறு பரிந்துரைத்தார்.
asking about treatment of bloat of a goat.,ஒரு ஆட்டின் வீக்கம் சிகிச்சை பற்றி கேட்கிறது.
suggested him to administer afanil 100ml@50ml orally and rest b50ml after 6hours.along with that administer steclin 500mg bolus @1/2 bolus twice daily.administer bovirum bolus @1/2 bolus twice daily.,"அஃபானில் 100ml@50ml வாய்வழியாக கொடுக்கவும், 6 மணி நேரத்திற்குப் பிறகு b50ml ஓய்வெடுக்கவும் அவருக்கு பரிந்துரைக்கப்பட்டது. அதனுடன் ஸ்டெக்லின் 500mg bolus @1/2 bolus ஐ தினமும் இரண்டு முறை கொடுக்கவும். Bovirum bolus @1/2 bolus தினமும் இரண்டு முறை நிர்வகிக்கவும்."
asking about the preventive measure against fruit borer of mango,மாம்பழத்தில் பழம் துளைப்பான்களுக்கு எதிரான தடுப்பு நடவடிக்கை குறித்து கேட்டறிந்தார்
"suggested to follow clean cultivation, brush the trunk with lime, spray the field with .1% malathion 35ec.","சுத்தமான சாகுபடியைப் பின்பற்றவும், சுண்ணாம்புடன் தண்டுக்குத் துலக்கவும், வயலில் .1% மாலத்தியான் 35c உடன் தெளிக்கவும்."
asking about the control measure to control fruit rot disease of chiili.,மிளகாய் பழ அழுகல் நோயைக் கட்டுப்படுத்துவதற்கான கட்டுப்பாட்டு நடவடிக்கை குறித்து கேட்டறிந்தார்.
suggested to apply dithane m-45@2.5 gram/liter of water.,டித்தேன் m-45@2.5 கிராம்/லிட்டர் தண்ணீருக்குப் பயன்படுத்த பரிந்துரைக்கப்படுகிறது.
telling that he wants to cultivate cucumber in a land of 2 bigha and for the same asking the process of cutivation practices.,"2 பிகா நிலத்தில் வெள்ளரி பயிரிட விரும்புவதாகவும், அதற்காக வெட்டும் நடைமுறைகளைக் கேட்டறிந்தார்."
"suggested to select mar-apr  with an seed rate of 330 gram per bigha. the planting distance suggested is 1.5 x 1.2 metre . fertilizers suggested is 14, 37,17 and 300 kilogram of urea, super, potash and farm yard manure respectively. also suggested to treat per kilogram of seeds with 5 gram of captaf to prevent root rot before sowing. the preventive measures has also been elaborated in details and wished him success for a bulk produce more than his expectation.","ஒரு பிகாவிற்கு 330 கிராம் விதை விகிதத்துடன் மார்-ஏப்ரை தேர்ந்தெடுக்க பரிந்துரைக்கப்பட்டது. பரிந்துரைக்கப்பட்ட நடவு தூரம் 1.5 x 1.2 மீட்டர். உரங்கள் முறையே 14, 37,17 மற்றும் 300 கிலோகிராம் யூரியா, சூப்பர், பொட்டாஷ் மற்றும் பண்ணை முற்றத்தில் உரம் பரிந்துரைக்கப்படுகிறது. விதைப்பதற்கு முன் வேர் அழுகல்லைத் தடுக்க ஒரு கிலோ விதைக்கு 5 கிராம் கேப்டாஃப் கொண்டு நேர்த்தி செய்ய பரிந்துரைக்கப்படுகிறது. தடுப்பு நடவடிக்கைகளும் விரிவாக விவரிக்கப்பட்டுள்ளன, மேலும் அவர் எதிர்பார்த்ததை விட அதிகமான உற்பத்திக்கு அவர் வெற்றிபெற வாழ்த்தினார்."
asking about financial assitstance for dairy farming.,பால் பண்ணைக்கான நிதி உதவி பற்றி கேட்டனர்.
suggested to contact with nearest sbi branch for loans& finances.,கடன்கள் மற்றும் நிதிக்கு அருகில் உள்ள sbi கிளையை தொடர்பு கொள்ள பரிந்துரைக்கப்படுகிறது.
asking about the variety of rajma.,ராஜ்மாவின் வகையைப் பற்றி கேட்டேன்.
suggested that the variety is-uday.,பல்வேறு-உதய் என்று பரிந்துரைத்தார்.
asking for the preservation method of potato tubers to be sown after 7-8 months.,உருளைக்கிழங்கு கிழங்குகளைப் பாதுகாக்கும் முறையை 7-8 மாதங்களுக்குப் பிறகு விதைக்க வேண்டும்.
"suggested mr. borbhuyan to dip the selected tubers (to be sown) in a solution of 30 gram boric acid and 1 litre of water for 30 minutes. after that the tubers are to be thinly spread in shade. also suggested to examine the tuber seeds and to separate and throw away the rotten ones and whenever such cases are observed, advised to spary malathion 5 percent dust powder with the help of a sprayer for which 200 gram of malathion 5 percent dust powder is sufficient for 1 quintal of potato tubers.","பரிந்துரைத்தார் திரு. தேர்ந்தெடுக்கப்பட்ட கிழங்குகளை (விதைக்க வேண்டும்) 30 கிராம் போரிக் அமிலம் மற்றும் 1 லிட்டர் தண்ணீரின் கரைசலில் 30 நிமிடம் முக்குவதற்கு போர்புயான். அதன் பிறகு கிழங்குகளை நிழலில் மெல்லியதாக பரப்ப வேண்டும். கிழங்கு விதைகளை பரிசோதித்து, அழுகியவற்றைப் பிரித்து எறிந்துவிடவும், இதுபோன்ற நிகழ்வுகள் கண்டறியப்பட்டால், 1 குவிண்டால் உருளைக்கிழங்கு கிழங்குகளுக்கு 200 கிராம் மாலத்தியான் 5 சதவிகித தூள் தூள் போதுமானதாக இருக்கும்."
asking about the age of castration in goat,ஆட்டின் காஸ்ட்ரேஷன் வயதைக் கேட்கிறது
the age of castration is 2-3 months in goat.,காஸ்ட்ரேஷன் வயது ஆட்டில் 2-3 மாதங்கள்.
asking that how to increase the production of coconut.,தேங்காய் உற்பத்தியை எப்படி அதிகரிப்பது என்று கேட்டனர்.
"suggested to apply recommended fertlizer dose like-urea@1.5kilogram/plant,ssp@2.5kilogram/plant,mop@1.75kilogram/plant,borax@25gram/plant.fertlizer should be applied in two equal split doses twice in a year to a trench of 30cm breadth,15cm depth at a radius of 1-1.75 meter away from the trunk.","பரிந்துரைக்கப்பட்ட உர அளவை யூரியா@1.5கிலோகிராம்/தாவரம்,எஸ்எஸ்பி@2.5கிலோகிராம்/செடி,மாப்@1.75கிலோகிராம்/செடி, போராக்ஸ்@25கிராம்/செடி உடற்பகுதியில் இருந்து மீட்டர் தொலைவில்."
asked about the fertilizer dose of okra.,ஓக்ராவின் உர அளவு பற்றி கேட்டார்.
"suggested to apply 14 kg urea, 41 kg ssp, 11kg mop and 2 q fym per bigha.","ஒரு பிகாவிற்கு 14 கிலோ யூரியா, 41 கிலோ எஸ்எஸ்பி, 11 கிலோ துடைப்பம் மற்றும் 2 கியூ ஃபைம் ஆகியவற்றைப் பயன்படுத்த பரிந்துரைக்கப்படுகிறது."
asking about the control measure to control fruit rot problem of cucumber.,வெள்ளரிக்காய் பழ அழுகும் பிரச்சனையை கட்டுப்படுத்துவதற்கான கட்டுப்பாட்டு நடவடிக்கை பற்றி கேட்டறிந்தார்.
suggested to apply dithane m-45@2.5gram/liter of water.,dithane m-45@2.5gram/liter தண்ணீருக்கு பயன்படுத்த பரிந்துரைக்கப்படுகிறது.
asking about treatment of wound in calf.,கன்றுக்குட்டியில் ஏற்பட்ட காயத்தின் சிகிச்சை பற்றி கேட்டனர்.
suggested to clean the wound with normal saline and then spray topicure spray on the affected area twice daily.,"காயத்தை சாதாரண உமிழ்நீரைக் கொண்டு சுத்தம் செய்யவும், பின்னர் பாதிக்கப்பட்ட பகுதியில் டாபிக்சர் ஸ்ப்ரேயை தினமும் இரண்டு முறை தெளிக்கவும்."
asked about the fertilizer dose of bhendi.,வெண்டைக்காய் உரத்தின் அளவைப் பற்றி கேட்டார்.
"suggested to apply 14 kg urea, 41 kg ssp, 11 kg mop and 200 kg fym per bigha.","ஒரு பிகாவிற்கு 14 கிலோ யூரியா, 41 கிலோ எஸ்எஸ்பி, 11 கிலோ துடைப்பம் மற்றும் 200 கிலோ எஃகு ஆகியவற்றைப் பயன்படுத்த பரிந்துரைக்கப்படுகிறது."
asked about the information regarding the training of mashroom cultivation.,காளான் வளர்ப்பு பயிற்சி தொடர்பான தகவல்களை கேட்டறிந்தார்.
"suggested to contact sird, khanapara, assam at phone no 0361 2335154, 2331663","0361 2335154, 2331663 என்ற தொலைபேசி எண்ணில் sird, khanapara, Assam ஐ தொடர்பு கொள்ள பரிந்துரைக்கப்படுகிறது"
asking about source of good breed ducklings for duck farming.,வாத்து வளர்ப்புக்கு நல்ல இன வாத்து குஞ்சுகளின் ஆதாரம் பற்றி கேட்டனர்.
"suggested to contact with s.i.r.d. khanapara,guwahati-22 for good breed ducklings.","s.i.r.d உடன் தொடர்பு கொள்ள பரிந்துரைக்கப்பட்டது. கானாபாரா, குவஹாத்தி-22 நல்ல இன வாத்து குஞ்சுகளுக்கு."
asking about the control measure to control cut worm infestation in cucumber.,வெள்ளரிக்காயில் வெட்டுப்புழு தொல்லையை கட்டுப்படுத்துவதற்கான கட்டுப்பாட்டு நடவடிக்கை குறித்து கேட்டறிந்தார்.
suggested to spray neem based pesticide like-neem gold/neemax@5ml/liter of water.,வேம்பு தங்கம்/நீமேக்ஸ் @5மிலி/லிட்டர் தண்ணீர் போன்ற வேம்பு அடிப்படையிலான பூச்சிக்கொல்லியை தெளிக்க பரிந்துரைக்கப்படுகிறது.
asking about the fertilizer dose of bitter gourd.,பாகற்காய் உரத்தின் அளவைப் பற்றி கேட்டறிந்தார்.
"suggested mr das to apply urea-11 kg,super-29 kg,potash- 3 kg and compost-2 quintal/bigha as the recomended dose of fertilizers for bitter gourd.","பாகற்காய்க்கு பரிந்துரைக்கப்பட்ட உரங்களாக யூரியா-11 கிலோ, சூப்பர்-29 கிலோ, பொட்டாஷ்- 3 கிலோ மற்றும் கம்போஸ்ட்-2 குவிண்டால்/பிகா ஆகியவற்றை இடுவதற்கு திரு தாஸ் பரிந்துரைத்தார்."
asking about treatment of maggoted wound in cow.,பசுவில் ஏற்பட்ட புழுக் காயத்திற்கு சிகிச்சையளிப்பது குறித்து கேட்டறிந்தார்.
